OBJECTID,VACCINATION_DATE,AgeRange,TotalVaccination,CummulativeVaccination
1,12/13/2020 3:00:00,age40to49,1,1
2,12/14/2020 3:00:00,age30to39,1,1
3,12/15/2020 3:00:00,age20to29,1,1
4,12/15/2020 3:00:00,age40to49,1,2
5,12/15/2020 3:00:00,age50to59,2,2
6,12/15/2020 3:00:00,age60to69,1,1
7,12/16/2020 3:00:00,age20to29,97,98
8,12/16/2020 3:00:00,age30to39,181,182
9,12/16/2020 3:00:00,age40to49,117,119
10,12/16/2020 3:00:00,age50to59,65,67
11,12/16/2020 3:00:00,age60to69,53,54
12,12/16/2020 3:00:00,age70to79,9,9
13,12/17/2020 3:00:00,age20to29,173,271
14,12/17/2020 3:00:00,age30to39,289,471
15,12/17/2020 3:00:00,age40to49,220,339
16,12/17/2020 3:00:00,age50to59,187,254
17,12/17/2020 3:00:00,age60to69,111,165
18,12/17/2020 3:00:00,age70to79,13,22
19,12/17/2020 3:00:00,age80plus,2,2
20,12/18/2020 3:00:00,age10to19,2,2
21,12/18/2020 3:00:00,age20to29,323,594
22,12/18/2020 3:00:00,age30to39,623,1094
23,12/18/2020 3:00:00,age40to49,569,908
24,12/18/2020 3:00:00,age50to59,528,782
25,12/18/2020 3:00:00,age60to69,355,520
26,12/18/2020 3:00:00,age70to79,42,64
27,12/19/2020 3:00:00,age20to29,85,679
28,12/19/2020 3:00:00,age30to39,177,1271
29,12/19/2020 3:00:00,age40to49,169,1077
30,12/19/2020 3:00:00,age50to59,157,939
31,12/19/2020 3:00:00,age60to69,111,631
32,12/19/2020 3:00:00,age70to79,10,74
33,12/20/2020 3:00:00,age10to19,1,3
34,12/20/2020 3:00:00,age20to29,24,703
35,12/20/2020 3:00:00,age30to39,44,1315
36,12/20/2020 3:00:00,age40to49,46,1123
37,12/20/2020 3:00:00,age50to59,30,969
38,12/20/2020 3:00:00,age60to69,18,649
39,12/20/2020 3:00:00,age70to79,3,77
40,12/21/2020 3:00:00,age10to19,6,9
41,12/21/2020 3:00:00,age20to29,461,1164
42,12/21/2020 3:00:00,age30to39,955,2270
43,12/21/2020 3:00:00,age40to49,779,1902
44,12/21/2020 3:00:00,age50to59,661,1630
45,12/21/2020 3:00:00,age60to69,392,1041
46,12/21/2020 3:00:00,age70to79,51,128
47,12/21/2020 3:00:00,age80plus,2,4
48,12/22/2020 3:00:00,age10to19,23,32
49,12/22/2020 3:00:00,age20to29,586,1750
50,12/22/2020 3:00:00,age30to39,1096,3366
51,12/22/2020 3:00:00,age40to49,1033,2935
52,12/22/2020 3:00:00,age50to59,1084,2714
53,12/22/2020 3:00:00,age60to69,782,1823
54,12/22/2020 3:00:00,age70to79,263,391
55,12/22/2020 3:00:00,age80plus,505,509
56,12/23/2020 3:00:00,age10to19,8,40
57,12/23/2020 3:00:00,age20to29,579,2329
58,12/23/2020 3:00:00,age30to39,1040,4406
59,12/23/2020 3:00:00,age40to49,978,3913
60,12/23/2020 3:00:00,age50to59,983,3697
61,12/23/2020 3:00:00,age60to69,704,2527
62,12/23/2020 3:00:00,age70to79,138,529
63,12/23/2020 3:00:00,age80plus,134,643
64,12/24/2020 3:00:00,age10to19,4,44
65,12/24/2020 3:00:00,age20to29,311,2640
66,12/24/2020 3:00:00,age30to39,524,4930
67,12/24/2020 3:00:00,age40to49,522,4435
68,12/24/2020 3:00:00,age50to59,519,4216
69,12/24/2020 3:00:00,age60to69,382,2909
70,12/24/2020 3:00:00,age70to79,58,587
71,12/24/2020 3:00:00,age80plus,9,652
72,12/25/2020 3:00:00,age10to19,26,70
73,12/25/2020 3:00:00,age20to29,62,2702
74,12/25/2020 3:00:00,age30to39,72,5002
75,12/25/2020 3:00:00,age40to49,111,4546
76,12/25/2020 3:00:00,age50to59,203,4419
77,12/25/2020 3:00:00,age60to69,156,3065
78,12/25/2020 3:00:00,age70to79,58,645
79,12/25/2020 3:00:00,age80plus,185,837
80,12/26/2020 3:00:00,age10to19,10,80
81,12/26/2020 3:00:00,age20to29,114,2816
82,12/26/2020 3:00:00,age30to39,200,5202
83,12/26/2020 3:00:00,age40to49,223,4769
84,12/26/2020 3:00:00,age50to59,334,4753
85,12/26/2020 3:00:00,age60to69,279,3344
86,12/26/2020 3:00:00,age70to79,136,781
87,12/26/2020 3:00:00,age80plus,131,968
88,12/27/2020 3:00:00,age20to29,98,2914
89,12/27/2020 3:00:00,age30to39,193,5395
90,12/27/2020 3:00:00,age40to49,193,4962
91,12/27/2020 3:00:00,age50to59,185,4938
92,12/27/2020 3:00:00,age60to69,152,3496
