OBJECTID,VACCINATION_DATE,AgeRange,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
1,2/27/1971 15:00:00,age20to29,1,1,0,0
2,1/15/2012 15:00:00,age60to69,1,1,0,0
3,1/26/2012 15:00:00,age80plus,1,1,0,0
4,2/2/2012 15:00:00,age50to59,1,1,0,0
5,2/3/2012 15:00:00,age70to79,1,1,0,0
6,2/26/2012 15:00:00,age50to59,1,2,0,0
7,2/1/2019 15:00:00,age20to29,1,2,0,0
8,3/17/2019 15:00:00,age70to79,1,2,0,0
9,1/1/2020 15:00:00,age20to29,2,4,0,0
10,1/1/2020 15:00:00,age30to39,1,1,0,0
11,1/3/2020 15:00:00,age30to39,1,2,0,0
12,1/4/2020 15:00:00,age50to59,1,3,0,0
13,1/5/2020 15:00:00,age50to59,2,5,0,0
14,1/5/2020 15:00:00,age40to49,1,1,0,0
15,1/6/2020 15:00:00,age80plus,1,2,0,0
16,1/6/2020 15:00:00,age50to59,1,6,0,0
17,1/15/2020 15:00:00,age20to29,1,5,0,0
18,1/16/2020 15:00:00,age50to59,1,7,0,0
19,1/17/2020 15:00:00,age30to39,1,3,0,0
20,1/20/2020 15:00:00,age80plus,1,3,0,0
21,1/21/2020 15:00:00,age60to69,1,2,0,0
22,1/22/2020 15:00:00,age30to39,2,5,0,0
23,1/23/2020 15:00:00,age70to79,1,3,0,0
24,1/27/2020 15:00:00,age50to59,1,8,0,0
25,1/27/2020 15:00:00,age40to49,1,2,0,0
26,1/27/2020 15:00:00,age70to79,1,4,0,0
27,1/30/2020 15:00:00,age40to49,2,4,0,0
28,1/30/2020 15:00:00,age20to29,0,5,1,1
29,1/31/2020 15:00:00,age30to39,1,6,0,0
30,1/31/2020 15:00:00,age70to79,1,5,0,0
31,2/1/2020 15:00:00,age70to79,2,7,0,0
32,2/1/2020 15:00:00,age20to29,0,5,1,2
33,2/2/2020 15:00:00,age40to49,0,4,1,1
34,2/3/2020 15:00:00,age40to49,1,5,0,1
35,2/3/2020 15:00:00,age20to29,1,6,0,2
36,2/4/2020 15:00:00,age30to39,0,6,1,1
37,2/6/2020 15:00:00,age20to29,1,7,0,2
38,2/7/2020 15:00:00,age80plus,1,4,0,0
39,2/16/2020 15:00:00,age60to69,1,3,0,0
40,2/17/2020 15:00:00,age50to59,0,8,1,1
41,2/19/2020 15:00:00,age70to79,0,7,1,1
42,2/23/2020 15:00:00,age50to59,1,9,0,1
43,2/23/2020 15:00:00,age20to29,1,8,0,2
44,2/24/2020 15:00:00,age60to69,1,4,0,0
45,2/24/2020 15:00:00,age70to79,1,8,0,1
46,3/1/2020 15:00:00,age60to69,2,6,0,0
47,3/1/2020 15:00:00,age30to39,1,7,0,1
48,3/4/2020 15:00:00,age40to49,1,6,0,1
49,3/5/2020 15:00:00,age40to49,1,7,0,1
50,3/8/2020 15:00:00,age70to79,1,9,0,1
51,3/10/2020 15:00:00,age70to79,1,10,0,1
52,3/11/2020 15:00:00,age60to69,2,8,0,0
53,3/17/2020 15:00:00,age70to79,1,11,0,1
54,4/1/2020 15:00:00,age50to59,1,10,0,1
55,5/1/2020 15:00:00,age50to59,0,10,1,2
56,8/4/2020 15:00:00,age60to69,1,9,0,0
57,8/10/2020 15:00:00,age70to79,1,12,0,1
58,8/14/2020 15:00:00,age60to69,1,10,0,0
59,8/14/2020 15:00:00,age30to39,1,8,0,1
60,8/21/2020 15:00:00,age40to49,1,8,0,1
61,8/27/2020 15:00:00,age50to59,1,11,0,2
62,8/31/2020 15:00:00,age80plus,1,5,0,0
63,8/31/2020 15:00:00,age70to79,0,12,1,2
64,9/1/2020 15:00:00,age50to59,1,12,0,2
65,9/1/2020 15:00:00,age30to39,1,9,0,1
66,9/3/2020 15:00:00,age40to49,1,9,0,1
67,9/4/2020 15:00:00,age60to69,1,11,0,0
68,9/4/2020 15:00:00,age40to49,1,10,0,1
69,9/5/2020 15:00:00,age50to59,1,13,0,2
70,9/8/2020 15:00:00,age60to69,1,12,0,0
71,9/13/2020 15:00:00,age60to69,1,13,0,0
72,9/15/2020 15:00:00,age60to69,0,13,2,2
73,9/16/2020 15:00:00,age30to39,0,9,1,2
74,9/19/2020 15:00:00,age50to59,2,15,0,2
75,9/20/2020 15:00:00,age70to79,1,13,0,2
76,9/21/2020 15:00:00,age60to69,1,14,0,2
77,9/22/2020 15:00:00,age50to59,1,16,0,2
78,9/23/2020 15:00:00,age40to49,0,10,1,2
79,9/24/2020 15:00:00,age50to59,0,16,1,3
80,9/28/2020 15:00:00,age60to69,0,14,1,3
81,9/29/2020 15:00:00,age60to69,1,15,0,3
82,9/29/2020 15:00:00,age80plus,0,5,1,1
83,10/1/2020 15:00:00,age50to59,1,17,0,3
84,10/1/2020 15:00:00,age70to79,1,14,0,2
85,10/1/2020 15:00:00,age30to39,0,9,1,3
86,10/1/2020 15:00:00,age60to69,0,15,1,4
87,10/2/2020 15:00:00,age50to59,1,18,0,3
88,10/3/2020 15:00:00,age60to69,0,15,1,5
89,10/5/2020 15:00:00,age40to49,1,11,0,2
90,10/6/2020 15:00:00,age50to59,0,18,1,4
91,10/7/2020 15:00:00,age40to49,0,11,1,3
