OBJECTID,VACCINATION_DATE,County,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
1,2/27/1971 15:00:00,Frederick,1,1,0,0
2,1/15/2012 15:00:00,Unknown,1,1,0,0
3,1/26/2012 15:00:00,Queen Anne's,1,1,0,0
4,2/2/2012 15:00:00,Unknown,1,2,0,0
5,2/3/2012 15:00:00,Baltimore,1,1,0,0
6,2/26/2012 15:00:00,Wicomico,1,1,0,0
7,2/1/2019 15:00:00,Washington,1,1,0,0
8,3/17/2019 15:00:00,Kent,1,1,0,0
9,1/1/2020 15:00:00,Unknown,2,4,0,0
10,1/1/2020 15:00:00,Wicomico,1,2,0,0
11,1/3/2020 15:00:00,Montgomery,1,1,0,0
12,1/4/2020 15:00:00,Montgomery,1,2,0,0
13,1/5/2020 15:00:00,Allegany,1,1,0,0
14,1/5/2020 15:00:00,Montgomery,2,4,0,0
15,1/6/2020 15:00:00,Carroll,1,1,0,0
16,1/6/2020 15:00:00,Montgomery,1,5,0,0
17,1/15/2020 15:00:00,Anne Arundel,1,1,0,0
18,1/16/2020 15:00:00,Unknown,1,5,0,0
19,1/17/2020 15:00:00,Montgomery,1,6,0,0
20,1/20/2020 15:00:00,Frederick,1,2,0,0
21,1/21/2020 15:00:00,Unknown,1,6,0,0
22,1/22/2020 15:00:00,Frederick,1,3,0,0
23,1/22/2020 15:00:00,Montgomery,1,7,0,0
24,1/23/2020 15:00:00,Unknown,1,7,0,0
25,1/27/2020 15:00:00,Cecil,1,1,0,0
26,1/27/2020 15:00:00,Montgomery,1,8,0,0
27,1/27/2020 15:00:00,Wicomico,1,3,0,0
28,1/30/2020 15:00:00,Caroline,1,1,0,0
29,1/30/2020 15:00:00,Prince George's,1,1,0,0
30,1/30/2020 15:00:00,Wicomico,0,3,1,1
31,1/31/2020 15:00:00,Montgomery,1,9,0,0
32,1/31/2020 15:00:00,Unknown,1,8,0,0
33,2/1/2020 15:00:00,Anne Arundel,0,1,1,1
34,2/1/2020 15:00:00,Unknown,1,9,0,0
35,2/1/2020 15:00:00,Washington,1,2,0,0
36,2/2/2020 15:00:00,Allegany,0,1,1,1
37,2/3/2020 15:00:00,Harford,1,1,0,0
38,2/3/2020 15:00:00,Montgomery,1,10,0,0
39,2/4/2020 15:00:00,Montgomery,0,10,1,1
40,2/6/2020 15:00:00,Dorchester,1,1,0,0
41,2/7/2020 15:00:00,Unknown,1,10,0,0
42,2/16/2020 15:00:00,Unknown,1,11,0,0
43,2/17/2020 15:00:00,Wicomico,0,3,1,2
44,2/19/2020 15:00:00,Unknown,0,11,1,1
45,2/23/2020 15:00:00,Baltimore,1,2,0,0
46,2/23/2020 15:00:00,Unknown,1,12,0,1
47,2/24/2020 15:00:00,Baltimore City,1,1,0,0
48,2/24/2020 15:00:00,Montgomery,1,11,0,1
49,3/1/2020 15:00:00,Cecil,1,2,0,0
50,3/1/2020 15:00:00,Montgomery,1,12,0,1
51,3/1/2020 15:00:00,Worcester,1,1,0,0
52,3/4/2020 15:00:00,Howard,1,1,0,0
53,3/5/2020 15:00:00,Montgomery,1,13,0,1
54,3/8/2020 15:00:00,Unknown,1,13,0,1
55,3/10/2020 15:00:00,Montgomery,1,14,0,1
56,3/11/2020 15:00:00,Baltimore City,1,2,0,0
57,3/11/2020 15:00:00,Unknown,1,14,0,1
58,3/17/2020 15:00:00,Carroll,1,2,0,0
59,4/1/2020 15:00:00,Montgomery,1,15,0,1
60,5/1/2020 15:00:00,Montgomery,0,15,1,2
61,8/4/2020 15:00:00,Montgomery,1,16,0,2
62,8/10/2020 15:00:00,Harford,1,2,0,0
63,8/14/2020 15:00:00,Frederick,1,4,0,0
64,8/14/2020 15:00:00,Montgomery,1,17,0,2
65,8/21/2020 15:00:00,Frederick,1,5,0,0
66,8/27/2020 15:00:00,Frederick,1,6,0,0
67,8/31/2020 15:00:00,Frederick,1,7,0,0
68,8/31/2020 15:00:00,Harford,0,2,1,1
69,9/1/2020 15:00:00,Cecil,1,3,0,0
70,9/1/2020 15:00:00,Montgomery,1,18,0,2
71,9/3/2020 15:00:00,Prince George's,1,2,0,0
72,9/4/2020 15:00:00,Anne Arundel,1,2,0,1
73,9/4/2020 15:00:00,Baltimore,1,3,0,0
74,9/5/2020 15:00:00,Baltimore,1,4,0,0
75,9/8/2020 15:00:00,Baltimore,1,5,0,0
76,9/13/2020 15:00:00,Anne Arundel,1,3,0,1
77,9/15/2020 15:00:00,Frederick,0,7,1,1
78,9/15/2020 15:00:00,Montgomery,0,18,1,3
79,9/16/2020 15:00:00,Montgomery,0,18,1,4
80,9/19/2020 15:00:00,Frederick,1,8,0,1
81,9/19/2020 15:00:00,Howard,1,2,0,0
82,9/20/2020 15:00:00,Baltimore,1,6,0,0
83,9/21/2020 15:00:00,Prince George's,1,3,0,0
84,9/22/2020 15:00:00,Unknown,1,15,0,1
85,9/23/2020 15:00:00,Frederick,0,8,1,2
86,9/24/2020 15:00:00,Frederick,0,8,1,3
87,9/28/2020 15:00:00,Baltimore,0,6,1,1
88,9/29/2020 15:00:00,Frederick,0,8,1,4
89,9/29/2020 15:00:00,Montgomery,1,19,0,4
90,10/1/2020 15:00:00,Baltimore,0,6,1,2
91,10/1/2020 15:00:00,Cecil,0,3,1,1
92,10/1/2020 15:00:00,Montgomery,1,20,0,4
93,10/1/2020 15:00:00,Prince George's,1,4,0,0
94,10/2/2020 15:00:00,Howard,1,3,0,0
95,10/3/2020 15:00:00,Anne Arundel,0,3,1,2
96,10/5/2020 15:00:00,Wicomico,1,4,0,2
97,10/6/2020 15:00:00,Baltimore,0,6,1,3
98,10/7/2020 15:00:00,Anne Arundel,0,3,1,3
99,10/8/2020 15:00:00,Montgomery,1,21,0,4
100,10/13/2020 15:00:00,Montgomery,1,22,0,4
101,10/15/2020 15:00:00,Prince George's,1,5,0,0
102,10/17/2020 15:00:00,Howard,0,3,1,1
103,10/17/2020 15:00:00,Montgomery,1,23,0,4
104,10/20/2020 15:00:00,Baltimore,0,6,1,4
105,10/20/2020 15:00:00,Prince George's,0,5,1,1
106,10/24/2020 15:00:00,Frederick,0,8,1,5
107,10/26/2020 15:00:00,Unknown,0,15,1,2
108,11/2/2020 15:00:00,Montgomery,1,24,0,4
109,11/5/2020 15:00:00,Montgomery,0,24,1,5
110,11/6/2020 15:00:00,Montgomery,2,26,0,5
111,11/7/2020 15:00:00,Anne Arundel,1,4,0,3
112,11/11/2020 15:00:00,Montgomery,0,26,1,6
113,11/12/2020 15:00:00,Howard,0,3,1,2
114,11/18/2020 15:00:00,Unknown,1,16,0,2
115,12/1/2020 15:00:00,Baltimore,1,7,0,4
116,12/1/2020 15:00:00,Carroll,1,3,0,0
117,12/1/2020 15:00:00,Frederick,2,10,0,5
118,12/1/2020 15:00:00,Harford,1,3,0,1
119,12/1/2020 15:00:00,Howard,1,4,0,2
120,12/1/2020 15:00:00,Montgomery,2,28,0,6
121,12/1/2020 15:00:00,Prince George's,3,8,0,1
122,12/1/2020 15:00:00,Wicomico,3,7,1,3
123,12/2/2020 15:00:00,Calvert,1,1,0,0
124,12/3/2020 15:00:00,Carroll,1,4,0,0
125,12/3/2020 15:00:00,Wicomico,1,8,0,3
126,12/4/2020 15:00:00,Caroline,1,2,0,0
127,12/4/2020 15:00:00,Montgomery,0,28,1,7
128,12/7/2020 15:00:00,Montgomery,1,29,0,7
129,12/8/2020 15:00:00,Montgomery,2,31,0,7
130,12/8/2020 15:00:00,Worcester,1,2,0,0
131,12/9/2020 15:00:00,Baltimore,1,8,0,4
132,12/10/2020 15:00:00,Baltimore City,1,3,0,0
133,12/11/2020 15:00:00,Montgomery,1,32,0,7
134,12/11/2020 15:00:00,Unknown,1,17,0,2
135,12/14/2020 15:00:00,Anne Arundel,2,6,0,3
136,12/14/2020 15:00:00,Montgomery,1,33,0,7
137,12/15/2020 15:00:00,Baltimore,1,9,0,4
138,12/15/2020 15:00:00,Baltimore City,3,6,0,0
139,12/15/2020 15:00:00,Frederick,2,12,0,5
140,12/15/2020 15:00:00,Montgomery,3,36,0,7
141,12/16/2020 15:00:00,Anne Arundel,53,59,0,3
142,12/16/2020 15:00:00,Baltimore,123,132,0,4
143,12/16/2020 15:00:00,Baltimore City,162,168,0,0
144,12/16/2020 15:00:00,Calvert,1,2,0,0
145,12/16/2020 15:00:00,Caroline,2,4,0,0
146,12/16/2020 15:00:00,Carroll,5,9,0,0
147,12/16/2020 15:00:00,Cecil,3,6,0,1
148,12/16/2020 15:00:00,Charles,6,6,0,0
149,12/16/2020 15:00:00,Dorchester,5,6,0,0
150,12/16/2020 15:00:00,Frederick,1,13,0,5
151,12/16/2020 15:00:00,Harford,51,54,0,1
152,12/16/2020 15:00:00,Howard,54,58,0,2
153,12/16/2020 15:00:00,Montgomery,24,60,0,7
154,12/16/2020 15:00:00,Prince George's,14,22,0,1
155,12/16/2020 15:00:00,Queen Anne's,4,5,0,0
156,12/16/2020 15:00:00,St. Mary's,2,2,0,0
157,12/16/2020 15:00:00,Talbot,6,6,0,0
158,12/16/2020 15:00:00,Unknown,20,37,1,3
159,12/16/2020 15:00:00,Washington,3,5,0,0
160,12/16/2020 15:00:00,Wicomico,1,9,0,3
161,12/17/2020 15:00:00,Anne Arundel,97,156,0,3
162,12/17/2020 15:00:00,Baltimore,189,321,0,4
163,12/17/2020 15:00:00,Baltimore City,232,400,0,0
164,12/17/2020 15:00:00,Calvert,3,5,0,0
165,12/17/2020 15:00:00,Caroline,5,9,0,0
166,12/17/2020 15:00:00,Carroll,16,25,0,0
167,12/17/2020 15:00:00,Cecil,3,9,0,1
168,12/17/2020 15:00:00,Charles,11,17,0,0
169,12/17/2020 15:00:00,Dorchester,7,13,0,0
170,12/17/2020 15:00:00,Frederick,23,36,0,5
171,12/17/2020 15:00:00,Harford,66,120,0,1
172,12/17/2020 15:00:00,Howard,107,165,0,2
173,12/17/2020 15:00:00,Kent,5,6,0,0
174,12/17/2020 15:00:00,Montgomery,65,125,0,7
175,12/17/2020 15:00:00,Prince George's,14,36,0,1
176,12/17/2020 15:00:00,Queen Anne's,9,14,0,0
177,12/17/2020 15:00:00,Somerset,8,8,0,0
178,12/17/2020 15:00:00,St. Mary's,1,3,0,0
179,12/17/2020 15:00:00,Talbot,12,18,0,0
180,12/17/2020 15:00:00,Unknown,60,97,0,3
181,12/17/2020 15:00:00,Washington,4,9,0,0
182,12/17/2020 15:00:00,Wicomico,77,86,0,3
183,12/17/2020 15:00:00,Worcester,28,30,0,0
184,12/18/2020 15:00:00,Allegany,4,5,0,1
185,12/18/2020 15:00:00,Anne Arundel,168,324,0,3
186,12/18/2020 15:00:00,Baltimore,444,765,0,4
187,12/18/2020 15:00:00,Baltimore City,359,759,0,0
188,12/18/2020 15:00:00,Calvert,10,15,0,0
189,12/18/2020 15:00:00,Caroline,3,12,0,0
190,12/18/2020 15:00:00,Carroll,76,101,0,0
191,12/18/2020 15:00:00,Cecil,6,15,0,1
192,12/18/2020 15:00:00,Charles,17,34,0,0
193,12/18/2020 15:00:00,Dorchester,8,21,0,0
194,12/18/2020 15:00:00,Frederick,133,169,0,5
195,12/18/2020 15:00:00,Harford,126,246,0,1
196,12/18/2020 15:00:00,Howard,236,401,0,2
197,12/18/2020 15:00:00,Kent,1,7,0,0
198,12/18/2020 15:00:00,Montgomery,310,435,1,8
199,12/18/2020 15:00:00,Prince George's,51,87,0,1
