OBJECTID,DATE_ENTERED,FirstDoseDaily,FirstDoseCumulative,SevenDay1stDoseAvg,SecondDoseDaily,SecondDoseCumulative,SevenDay2ndDoseAvg,FirstSecondDoseTotal,FirstSecondDoseCumulative,SevenDay1st2ndDoseAvg
1,12/15/2020 15:00:00,5,5,5,0,0,0,5,5,5
2,12/16/2020 15:00:00,517,522,261,0,0,0,517,522,261
3,12/17/2020 15:00:00,928,1450,483,0,0,0,928,1450,483
4,12/18/2020 15:00:00,2386,3836,959,0,0,0,2386,3836,959
5,12/19/2020 15:00:00,828,4664,932,0,0,0,828,4664,932
6,12/20/2020 15:00:00,261,4925,820,0,0,0,261,4925,820
7,12/21/2020 15:00:00,3355,8280,1182,0,0,0,3355,8280,1182
8,12/22/2020 15:00:00,3511,11791,1683,0,0,0,3511,11791,1683
9,12/23/2020 15:00:00,4046,15837,2187,0,0,0,4046,15837,2187
10,12/24/2020 15:00:00,3073,18910,2494,0,0,0,3073,18910,2494
11,12/25/2020 15:00:00,1963,20873,2433,0,0,0,1963,20873,2433
12,12/26/2020 15:00:00,1073,21946,2468,0,0,0,1073,21946,2468
13,12/27/2020 15:00:00,985,22931,2572,0,0,0,985,22931,2572
14,12/28/2020 15:00:00,8151,31082,3257,0,0,0,8151,31082,3257
15,12/29/2020 15:00:00,8447,39529,3962,0,0,0,8447,39529,3962
16,12/30/2020 15:00:00,10706,50235,4914,0,0,0,10706,50235,4914
17,12/31/2020 15:00:00,7305,57540,5518,1,1,0,7306,57541,5518
18,1/1/2021 15:00:00,2260,59800,5561,0,0,0,2260,59800,5561
19,1/2/2021 15:00:00,3688,63488,5934,18,19,2,3706,63507,5937
20,1/3/2021 15:00:00,2045,65533,6086,63,82,11,2108,65615,6097
21,1/4/2021 15:00:00,11296,76829,6535,223,305,43,11519,77134,6578
22,1/5/2021 15:00:00,9805,86634,6729,415,720,102,10220,87354,6832
23,1/6/2021 15:00:00,11773,98407,6881,726,1446,206,12499,99853,7088
24,1/7/2021 15:00:00,13196,111603,7723,1443,2889,412,14639,114492,8135
25,1/8/2021 15:00:00,20197,131800,10285,1898,4787,683,22095,136587,10969
26,1/9/2021 15:00:00,12062,143862,11482,1357,6144,875,13419,150006,12357
27,1/10/2021 15:00:00,3120,146982,11635,475,6619,933,3595,153601,12569
28,1/11/2021 15:00:00,12551,159533,11814,2982,9601,1328,15533,169134,13142
29,1/12/2021 15:00:00,13096,172629,12285,3050,12651,1704,16146,185280,13989
30,1/13/2021 15:00:00,13462,186091,12526,3117,15768,2046,16579,201859,14572
31,1/14/2021 15:00:00,16771,202862,13037,1645,17413,2074,18416,220275,15111
32,1/15/2021 15:00:00,21350,224212,13201,3161,20574,2255,24511,244786,15457
33,1/16/2021 15:00:00,7088,231300,12491,647,21221,2153,7735,252521,14645
34,1/17/2021 15:00:00,1567,232867,12269,502,21723,2157,2069,254590,14427
35,1/18/2021 15:00:00,7956,240823,11612,2556,24279,2096,10512,265102,13709
36,1/19/2021 15:00:00,9980,250803,11167,3748,28027,2196,13728,278830,13364
37,1/20/2021 15:00:00,12779,263582,11070,2769,30796,2146,15548,294378,13217
