OBJECTID,VACCINATION_DATE,Ethnicity,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative
1,2/27/1971 15:00:00,Not Hispanic or Latino,1,1,0,0
2,1/15/2012 15:00:00,Not Hispanic or Latino,1,2,0,0
3,1/26/2012 15:00:00,Not Hispanic or Latino,1,3,0,0
4,2/2/2012 15:00:00,Not Hispanic or Latino,1,4,0,0
5,2/3/2012 15:00:00,Not Hispanic or Latino,1,5,0,0
6,2/26/2012 15:00:00,Not Hispanic or Latino,1,6,0,0
7,2/1/2019 15:00:00,Unknown Ethnicity,1,1,0,0
8,3/17/2019 15:00:00,Not Hispanic or Latino,1,7,0,0
9,1/1/2020 15:00:00,Not Hispanic or Latino,3,10,0,0
10,1/3/2020 15:00:00,Hispanic or Latino,1,1,0,0
11,1/4/2020 15:00:00,Not Hispanic or Latino,1,11,0,0
12,1/5/2020 15:00:00,Not Hispanic or Latino,3,14,0,0
13,1/6/2020 15:00:00,Not Hispanic or Latino,1,15,0,0
14,1/6/2020 15:00:00,Unknown Ethnicity,1,2,0,0
15,1/15/2020 15:00:00,Not Hispanic or Latino,1,16,0,0
16,1/16/2020 15:00:00,Not Hispanic or Latino,1,17,0,0
17,1/17/2020 15:00:00,Hispanic or Latino,1,2,0,0
18,1/20/2020 15:00:00,Not Hispanic or Latino,1,18,0,0
19,1/21/2020 15:00:00,Not Hispanic or Latino,1,19,0,0
20,1/22/2020 15:00:00,Not Hispanic or Latino,2,21,0,0
21,1/23/2020 15:00:00,Unknown Ethnicity,1,3,0,0
22,1/27/2020 15:00:00,Not Hispanic or Latino,3,24,0,0
23,1/30/2020 15:00:00,Unknown Ethnicity,1,4,0,0
24,1/30/2020 15:00:00,Not Hispanic or Latino,1,25,1,1
25,1/31/2020 15:00:00,Not Hispanic or Latino,2,27,0,1
26,2/1/2020 15:00:00,Not Hispanic or Latino,1,28,1,2
27,2/1/2020 15:00:00,Unknown Ethnicity,1,5,0,0
28,2/2/2020 15:00:00,Not Hispanic or Latino,0,28,1,3
29,2/3/2020 15:00:00,Not Hispanic or Latino,2,30,0,3
30,2/4/2020 15:00:00,Hispanic or Latino,0,2,1,1
31,2/6/2020 15:00:00,Not Hispanic or Latino,1,31,0,3
32,2/7/2020 15:00:00,Not Hispanic or Latino,1,32,0,3
33,2/16/2020 15:00:00,Not Hispanic or Latino,1,33,0,3
34,2/17/2020 15:00:00,Not Hispanic or Latino,0,33,1,4
35,2/19/2020 15:00:00,Unknown Ethnicity,0,5,1,1
36,2/23/2020 15:00:00,Not Hispanic or Latino,2,35,0,4
37,2/24/2020 15:00:00,Not Hispanic or Latino,2,37,0,4
38,3/1/2020 15:00:00,Not Hispanic or Latino,3,40,0,4
39,3/4/2020 15:00:00,Hispanic or Latino,1,3,0,1
40,3/5/2020 15:00:00,Not Hispanic or Latino,1,41,0,4
41,3/8/2020 15:00:00,Not Hispanic or Latino,1,42,0,4
42,3/10/2020 15:00:00,Not Hispanic or Latino,1,43,0,4
43,3/11/2020 15:00:00,Not Hispanic or Latino,2,45,0,4
44,3/17/2020 15:00:00,Not Hispanic or Latino,1,46,0,4
45,4/1/2020 15:00:00,Not Hispanic or Latino,1,47,0,4
46,5/1/2020 15:00:00,Not Hispanic or Latino,0,47,1,5
47,8/4/2020 15:00:00,Not Hispanic or Latino,1,48,0,5
48,8/10/2020 15:00:00,Not Hispanic or Latino,1,49,0,5
49,8/14/2020 15:00:00,Not Hispanic or Latino,2,51,0,5
50,8/21/2020 15:00:00,Not Hispanic or Latino,1,52,0,5
51,8/27/2020 15:00:00,Not Hispanic or Latino,1,53,0,5
52,8/31/2020 15:00:00,Not Hispanic or Latino,1,54,1,6
53,9/1/2020 15:00:00,Not Hispanic or Latino,2,56,0,6
54,9/3/2020 15:00:00,Unknown Ethnicity,1,6,0,1
55,9/4/2020 15:00:00,Not Hispanic or Latino,2,58,0,6
56,9/5/2020 15:00:00,Not Hispanic or Latino,1,59,0,6
57,9/8/2020 15:00:00,Not Hispanic or Latino,1,60,0,6
58,9/13/2020 15:00:00,Not Hispanic or Latino,1,61,0,6
59,9/15/2020 15:00:00,Not Hispanic or Latino,0,61,2,8
60,9/16/2020 15:00:00,Not Hispanic or Latino,0,61,1,9
61,9/19/2020 15:00:00,Hispanic or Latino,1,4,0,1
62,9/19/2020 15:00:00,Not Hispanic or Latino,1,62,0,9
63,9/20/2020 15:00:00,Not Hispanic or Latino,1,63,0,9
64,9/21/2020 15:00:00,Not Hispanic or Latino,1,64,0,9
65,9/22/2020 15:00:00,Not Hispanic or Latino,1,65,0,9
66,9/23/2020 15:00:00,Not Hispanic or Latino,0,65,1,10
67,9/24/2020 15:00:00,Not Hispanic or Latino,0,65,1,11
68,9/28/2020 15:00:00,Not Hispanic or Latino,0,65,1,12
69,9/29/2020 15:00:00,Not Hispanic or Latino,1,66,1,13
70,10/1/2020 15:00:00,Not Hispanic or Latino,2,68,2,15
71,10/2/2020 15:00:00,Not Hispanic or Latino,1,69,0,15
72,10/3/2020 15:00:00,Not Hispanic or Latino,0,69,1,16
73,10/5/2020 15:00:00,Not Hispanic or Latino,1,70,0,16
74,10/6/2020 15:00:00,Not Hispanic or Latino,0,70,1,17
75,10/7/2020 15:00:00,Not Hispanic or Latino,0,70,1,18
76,10/8/2020 15:00:00,Hispanic or Latino,1,5,0,1
77,10/13/2020 15:00:00,Not Hispanic or Latino,1,71,0,18
78,10/15/2020 15:00:00,Not Hispanic or Latino,1,72,0,18
79,10/17/2020 15:00:00,Not Hispanic or Latino,0,72,1,19
80,10/17/2020 15:00:00,Hispanic or Latino,1,6,0,1
81,10/20/2020 15:00:00,Not Hispanic or Latino,0,72,2,21
82,10/24/2020 15:00:00,Hispanic or Latino,0,6,1,2
83,10/26/2020 15:00:00,Not Hispanic or Latino,0,72,1,22
84,11/2/2020 15:00:00,Not Hispanic or Latino,1,73,0,22
85,11/5/2020 15:00:00,Hispanic or Latino,0,6,1,3
86,11/6/2020 15:00:00,Not Hispanic or Latino,1,74,0,22
87,11/6/2020 15:00:00,Hispanic or Latino,1,7,0,3
88,11/7/2020 15:00:00,Not Hispanic or Latino,1,75,0,22
89,11/11/2020 15:00:00,Not Hispanic or Latino,0,75,1,23
90,11/12/2020 15:00:00,Not Hispanic or Latino,0,75,1,24
91,11/18/2020 15:00:00,Not Hispanic or Latino,1,76,0,24
92,12/1/2020 15:00:00,Not Hispanic or Latino,12,88,1,25
93,12/1/2020 15:00:00,Hispanic or Latino,2,9,0,3
94,12/2/2020 15:00:00,Not Hispanic or Latino,1,89,0,25
95,12/3/2020 15:00:00,Not Hispanic or Latino,2,91,0,25
96,12/4/2020 15:00:00,Not Hispanic or Latino,1,92,1,26
97,12/7/2020 15:00:00,Unknown Ethnicity,1,7,0,1
98,12/8/2020 15:00:00,Not Hispanic or Latino,3,95,0,26
99,12/9/2020 15:00:00,Not Hispanic or Latino,1,96,0,26
100,12/10/2020 15:00:00,Not Hispanic or Latino,1,97,0,26
101,12/11/2020 15:00:00,Not Hispanic or Latino,2,99,0,26
102,12/14/2020 15:00:00,Unknown Ethnicity,1,8,0,1
103,12/14/2020 15:00:00,Not Hispanic or Latino,2,101,0,26
104,12/15/2020 15:00:00,Not Hispanic or Latino,7,108,0,26
105,12/15/2020 15:00:00,Hispanic or Latino,1,10,0,3
106,12/15/2020 15:00:00,Unknown Ethnicity,1,9,0,1
107,12/16/2020 15:00:00,Not Hispanic or Latino,508,616,1,27
108,12/16/2020 15:00:00,Unknown Ethnicity,11,20,0,1
109,12/16/2020 15:00:00,Hispanic or Latino,21,31,0,3
110,12/17/2020 15:00:00,Unknown Ethnicity,22,42,0,1
111,12/17/2020 15:00:00,Not Hispanic or Latino,985,1601,0,27
112,12/17/2020 15:00:00,Hispanic or Latino,35,66,0,3
113,12/18/2020 15:00:00,Unknown Ethnicity,140,182,0,1
114,12/18/2020 15:00:00,Hispanic or Latino,73,139,0,3
115,12/18/2020 15:00:00,Not Hispanic or Latino,2641,4242,1,28
116,12/19/2020 15:00:00,Hispanic or Latino,35,174,0,3
117,12/19/2020 15:00:00,Unknown Ethnicity,40,222,0,1
118,12/19/2020 15:00:00,Not Hispanic or Latino,770,5012,1,29
119,12/20/2020 15:00:00,Hispanic or Latino,5,179,0,3
120,12/20/2020 15:00:00,Unknown Ethnicity,45,267,0,1
121,12/20/2020 15:00:00,Not Hispanic or Latino,226,5238,0,29
122,12/21/2020 15:00:00,Not Hispanic or Latino,3433,8671,0,29
123,12/21/2020 15:00:00,Unknown Ethnicity,131,398,0,1
124,12/21/2020 15:00:00,Hispanic or Latino,150,329,0,3
125,12/22/2020 15:00:00,Hispanic or Latino,203,532,0,3
126,12/22/2020 15:00:00,Unknown Ethnicity,1327,1725,0,1
127,12/22/2020 15:00:00,Not Hispanic or Latino,4642,13313,3,32
128,12/23/2020 15:00:00,Not Hispanic or Latino,4772,18085,3,35
129,12/23/2020 15:00:00,Hispanic or Latino,184,716,1,4
130,12/23/2020 15:00:00,Unknown Ethnicity,493,2218,0,1
131,12/24/2020 15:00:00,Not Hispanic or Latino,2417,20502,1,36
132,12/24/2020 15:00:00,Hispanic or Latino,90,806,0,4
133,12/24/2020 15:00:00,Unknown Ethnicity,125,2343,0,1
134,12/25/2020 15:00:00,Unknown Ethnicity,571,2914,0,1
135,12/25/2020 15:00:00,Hispanic or Latino,25,831,0,4
136,12/25/2020 15:00:00,Not Hispanic or Latino,434,20936,0,36
137,12/26/2020 15:00:00,Unknown Ethnicity,575,3489,0,1
138,12/26/2020 15:00:00,Hispanic or Latino,32,863,0,4
139,12/26/2020 15:00:00,Not Hispanic or Latino,1037,21973,1,37
140,12/27/2020 15:00:00,Unknown Ethnicity,465,3954,0,1
141,12/27/2020 15:00:00,Hispanic or Latino,52,915,0,4
142,12/27/2020 15:00:00,Not Hispanic or Latino,1248,23221,1,38
143,12/28/2020 15:00:00,Unknown Ethnicity,767,4721,0,1
144,12/28/2020 15:00:00,Hispanic or Latino,261,1176,0,4
145,12/28/2020 15:00:00,Not Hispanic or Latino,7554,30775,4,42
146,12/29/2020 15:00:00,Not Hispanic or Latino,8744,39519,3,45
147,12/29/2020 15:00:00,Hispanic or Latino,361,1537,0,4
148,12/29/2020 15:00:00,Unknown Ethnicity,1193,5914,0,1
149,12/30/2020 15:00:00,Hispanic or Latino,529,2066,0,4
150,12/30/2020 15:00:00,Unknown Ethnicity,677,6591,0,1
151,12/30/2020 15:00:00,Not Hispanic or Latino,10941,50460,6,51
152,12/31/2020 15:00:00,Not Hispanic or Latino,6571,57031,2,53
153,12/31/2020 15:00:00,Hispanic or Latino,347,2413,0,4
154,12/31/2020 15:00:00,Unknown Ethnicity,378,6969,1,2
155,1/1/2021 15:00:00,Not Hispanic or Latino,836,57867,10,63
156,1/1/2021 15:00:00,Hispanic or Latino,20,2433,0,4
157,1/1/2021 15:00:00,Unknown Ethnicity,612,7581,1,3
158,1/2/2021 15:00:00,Not Hispanic or Latino,1907,59774,18,81
159,1/2/2021 15:00:00,Unknown Ethnicity,547,8128,1,4
160,1/2/2021 15:00:00,Hispanic or Latino,73,2506,2,6
161,1/3/2021 15:00:00,Unknown Ethnicity,899,9027,5,9
162,1/3/2021 15:00:00,Hispanic or Latino,94,2600,3,9
163,1/3/2021 15:00:00,Not Hispanic or Latino,2154,61928,59,140
164,1/4/2021 15:00:00,Hispanic or Latino,624,3224,13,22
165,1/4/2021 15:00:00,Unknown Ethnicity,1823,10850,8,17
166,1/4/2021 15:00:00,Not Hispanic or Latino,10341,72269,219,359
167,1/5/2021 15:00:00,Unknown Ethnicity,1404,12254,22,39
168,1/5/2021 15:00:00,Hispanic or Latino,422,3646,14,36
169,1/5/2021 15:00:00,Not Hispanic or Latino,9826,82095,391,750
170,1/6/2021 15:00:00,Hispanic or Latino,629,4275,20,56
171,1/6/2021 15:00:00,Unknown Ethnicity,1586,13840,32,71
172,1/6/2021 15:00:00,Not Hispanic or Latino,12085,94180,710,1460
173,1/7/2021 15:00:00,Unknown Ethnicity,1212,15052,80,151
174,1/7/2021 15:00:00,Hispanic or Latino,858,5133,59,115
175,1/7/2021 15:00:00,Not Hispanic or Latino,12495,106675,1442,2902
176,1/8/2021 15:00:00,Not Hispanic or Latino,13847,120522,2349,5251
177,1/8/2021 15:00:00,Unknown Ethnicity,8595,23647,120,271
178,1/8/2021 15:00:00,Hispanic or Latino,939,6072,81,196
179,1/9/2021 15:00:00,Not Hispanic or Latino,4108,124630,768,6019
180,1/9/2021 15:00:00,Unknown Ethnicity,475,24122,64,335
181,1/9/2021 15:00:00,Hispanic or Latino,190,6262,31,227
182,1/10/2021 15:00:00,Not Hispanic or Latino,1964,126594,291,6310
183,1/10/2021 15:00:00,Hispanic or Latino,117,6379,21,248
184,1/10/2021 15:00:00,Unknown Ethnicity,480,24602,13,348
185,1/11/2021 15:00:00,Hispanic or Latino,626,7005,132,380
186,1/11/2021 15:00:00,Not Hispanic or Latino,11711,138305,2924,9234
187,1/11/2021 15:00:00,Unknown Ethnicity,914,25516,182,530
188,1/12/2021 15:00:00,Not Hispanic or Latino,14031,152336,4047,13281
189,1/12/2021 15:00:00,Hispanic or Latino,759,7764,168,548
190,1/12/2021 15:00:00,Unknown Ethnicity,1829,27345,1080,1610
191,1/13/2021 15:00:00,Unknown Ethnicity,1075,28420,380,1990
192,1/13/2021 15:00:00,Hispanic or Latino,776,8540,120,668
193,1/13/2021 15:00:00,Not Hispanic or Latino,15949,168285,3115,16396
194,1/14/2021 15:00:00,Hispanic or Latino,821,9361,54,722
195,1/14/2021 15:00:00,Unknown Ethnicity,927,29347,132,2122
196,1/14/2021 15:00:00,Not Hispanic or Latino,15482,183767,1619,18015
197,1/15/2021 15:00:00,Hispanic or Latino,960,10321,57,779
198,1/15/2021 15:00:00,Unknown Ethnicity,1194,30541,548,2670
199,1/15/2021 15:00:00,Not Hispanic or Latino,16668,200435,1165,19180
200,1/16/2021 15:00:00,Not Hispanic or Latino,4636,205071,809,19989
201,1/16/2021 15:00:00,Hispanic or Latino,183,10504,31,810
202,1/16/2021 15:00:00,Unknown Ethnicity,764,31305,459,3129
203,1/17/2021 15:00:00,Not Hispanic or Latino,1619,206690,926,20915
204,1/17/2021 15:00:00,Hispanic or Latino,95,10599,39,849
205,1/17/2021 15:00:00,Unknown Ethnicity,302,31607,355,3484
206,1/18/2021 15:00:00,Not Hispanic or Latino,6380,213070,2060,22975
207,1/18/2021 15:00:00,Hispanic or Latino,146,10745,101,950
208,1/18/2021 15:00:00,Unknown Ethnicity,572,32179,707,4191
209,1/19/2021 15:00:00,Hispanic or Latino,467,11212,138,1088
210,1/19/2021 15:00:00,Not Hispanic or Latino,15105,228175,3675,26650
211,1/19/2021 15:00:00,Unknown Ethnicity,661,32840,721,4912
212,1/20/2021 15:00:00,Not Hispanic or Latino,19036,247211,4257,30907
213,1/20/2021 15:00:00,Hispanic or Latino,676,11888,172,1260
214,1/20/2021 15:00:00,Unknown Ethnicity,740,33580,341,5253
215,1/21/2021 15:00:00,Unknown Ethnicity,803,34383,128,5381
216,1/21/2021 15:00:00,Hispanic or Latino,794,12682,118,1378
217,1/21/2021 15:00:00,Not Hispanic or Latino,21196,268407,2907,33814
218,1/22/2021 15:00:00,Hispanic or Latino,993,13675,84,1462
219,1/22/2021 15:00:00,Unknown Ethnicity,1601,35984,749,6130
220,1/22/2021 15:00:00,Not Hispanic or Latino,25595,294002,2359,36173
221,1/23/2021 15:00:00,Unknown Ethnicity,1009,36993,437,6567
222,1/23/2021 15:00:00,Hispanic or Latino,260,13935,39,1501
223,1/23/2021 15:00:00,Not Hispanic or Latino,8158,302160,1003,37176
224,1/24/2021 15:00:00,Not Hispanic or Latino,2564,304724,920,38096
225,1/24/2021 15:00:00,Hispanic or Latino,60,13995,18,1519
226,1/24/2021 15:00:00,Unknown Ethnicity,611,37604,618,7185
227,1/25/2021 15:00:00,Not Hispanic or Latino,14331,319055,6475,44571
