OBJECTID,SEX_CODE,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,Vaccination_Date
1,Female,1,1,0,0,2/27/1971 15:00:00
2,Male,1,1,0,0,1/15/2012 15:00:00
3,Female,1,2,0,0,1/26/2012 15:00:00
4,Male,1,2,0,0,2/2/2012 15:00:00
5,Female,1,3,0,0,2/3/2012 15:00:00
6,Female,1,4,0,0,2/26/2012 15:00:00
7,Female,1,5,1,1,2/1/2019 15:00:00
8,Female,1,6,0,1,3/17/2019 15:00:00
9,Female,3,9,1,2,1/1/2020 15:00:00
10,Female,1,10,0,2,1/3/2020 15:00:00
11,Male,1,3,1,1,1/4/2020 15:00:00
12,Female,1,11,0,2,1/5/2020 15:00:00
13,Male,2,5,0,1,1/5/2020 15:00:00
14,Female,1,12,0,2,1/6/2020 15:00:00
15,Male,1,6,0,1,1/6/2020 15:00:00
16,Female,1,13,0,2,1/15/2020 15:00:00
17,Female,1,14,0,2,1/16/2020 15:00:00
18,Female,1,15,0,2,1/17/2020 15:00:00
19,Male,1,7,0,1,1/20/2020 15:00:00
20,Female,1,16,0,2,1/21/2020 15:00:00
21,Male,1,8,1,2,1/22/2020 15:00:00
22,Female,1,17,0,2,1/22/2020 15:00:00
23,Male,1,9,0,2,1/23/2020 15:00:00
24,Male,2,11,0,2,1/27/2020 15:00:00
25,Female,1,18,0,2,1/27/2020 15:00:00
26,Male,1,12,0,2,1/30/2020 15:00:00
27,Female,1,19,2,4,1/30/2020 15:00:00
28,Unknown Gender,1,1,1,1,1/31/2020 15:00:00
29,Female,1,20,0,4,1/31/2020 15:00:00
30,Female,1,21,1,5,2/1/2020 15:00:00
31,Male,1,13,1,3,2/1/2020 15:00:00
32,Male,0,13,1,4,2/2/2020 15:00:00
33,Female,2,23,0,5,2/3/2020 15:00:00
34,Female,0,23,1,6,2/4/2020 15:00:00
35,Female,1,24,0,6,2/6/2020 15:00:00
36,Male,1,14,0,4,2/7/2020 15:00:00
37,Male,1,15,0,4,2/16/2020 15:00:00
38,Male,0,15,1,5,2/17/2020 15:00:00
39,Male,0,15,1,6,2/19/2020 15:00:00
40,Male,1,16,0,6,2/23/2020 15:00:00
41,Female,1,25,0,6,2/23/2020 15:00:00
42,Male,2,18,1,7,2/24/2020 15:00:00
43,Female,1,26,1,7,3/1/2020 15:00:00
44,Male,2,20,0,7,3/1/2020 15:00:00
45,Female,1,27,0,7,3/4/2020 15:00:00
46,Male,1,21,1,8,3/5/2020 15:00:00
47,Unknown Gender,1,2,1,2,3/8/2020 15:00:00
48,Female,1,28,0,7,3/10/2020 15:00:00
49,Female,1,29,0,7,3/11/2020 15:00:00
50,Unknown Gender,1,3,1,3,3/11/2020 15:00:00
51,Male,1,22,0,8,3/17/2020 15:00:00
52,Female,1,30,0,7,4/1/2020 15:00:00
53,Female,0,30,1,8,5/1/2020 15:00:00
54,Male,1,23,0,8,8/4/2020 15:00:00
55,Female,1,31,0,8,8/10/2020 15:00:00
56,Female,2,33,0,8,8/14/2020 15:00:00
57,Male,1,24,0,8,8/21/2020 15:00:00
58,Female,1,34,0,8,8/27/2020 15:00:00
59,Female,1,35,1,9,8/31/2020 15:00:00
60,Male,2,26,1,9,9/1/2020 15:00:00
61,Female,1,36,0,9,9/3/2020 15:00:00
62,Female,1,37,0,9,9/4/2020 15:00:00
63,Male,1,27,0,9,9/4/2020 15:00:00
64,Female,1,38,0,9,9/5/2020 15:00:00
65,Male,1,28,0,9,9/8/2020 15:00:00
66,Female,1,39,0,9,9/13/2020 15:00:00
67,Female,0,39,1,10,9/15/2020 15:00:00
68,Male,0,28,1,10,9/15/2020 15:00:00
69,Female,0,39,1,11,9/16/2020 15:00:00
70,Female,1,40,0,11,9/19/2020 15:00:00
71,Male,1,29,0,10,9/19/2020 15:00:00
72,Male,1,30,0,10,9/20/2020 15:00:00
73,Male,1,31,0,10,9/21/2020 15:00:00
74,Male,1,32,0,10,9/22/2020 15:00:00
75,Male,0,32,1,11,9/23/2020 15:00:00
76,Female,0,40,1,12,9/24/2020 15:00:00
77,Male,0,32,1,12,9/28/2020 15:00:00
78,Female,0,40,1,13,9/29/2020 15:00:00
79,Male,1,33,0,12,9/29/2020 15:00:00
80,Male,1,34,2,14,10/1/2020 15:00:00
81,Female,1,41,0,13,10/1/2020 15:00:00
82,Female,1,42,0,13,10/2/2020 15:00:00
83,Female,0,42,1,14,10/3/2020 15:00:00
84,Female,1,43,0,14,10/5/2020 15:00:00
85,Female,0,43,1,15,10/6/2020 15:00:00
86,Female,0,43,1,16,10/7/2020 15:00:00
87,Male,1,35,0,14,10/8/2020 15:00:00
88,Female,1,44,0,16,10/13/2020 15:00:00
89,Male,1,36,1,15,10/15/2020 15:00:00
90,Male,1,37,0,15,10/17/2020 15:00:00
91,Female,0,44,1,17,10/17/2020 15:00:00
92,Male,0,37,2,17,10/20/2020 15:00:00
93,Male,0,37,1,18,10/24/2020 15:00:00
94,Male,0,37,1,19,10/26/2020 15:00:00
95,Female,1,45,1,18,11/2/2020 15:00:00
96,Male,0,37,1,20,11/5/2020 15:00:00
97,Female,1,46,0,18,11/6/2020 15:00:00
98,Male,1,38,1,21,11/6/2020 15:00:00
99,Female,1,47,0,18,11/7/2020 15:00:00
100,Female,0,47,1,19,11/11/2020 15:00:00
101,Female,0,47,1,20,11/12/2020 15:00:00
102,Female,1,48,0,20,11/18/2020 15:00:00
103,Female,8,56,1,21,12/1/2020 15:00:00
