OBJECTID,VACCINATION_DATE,RACE_CODE,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative
1,2/27/1971 15:00:00,White,1,1,0,0
2,1/15/2012 15:00:00,Black or African American,1,1,0,0
3,1/26/2012 15:00:00,White,1,2,0,0
4,2/2/2012 15:00:00,White,1,3,0,0
5,2/3/2012 15:00:00,White,1,4,0,0
6,2/26/2012 15:00:00,White,1,5,0,0
7,2/1/2019 15:00:00,White,1,6,1,1
8,3/17/2019 15:00:00,White,1,7,0,1
9,1/1/2020 15:00:00,Asian,1,1,1,1
10,1/1/2020 15:00:00,White,2,9,0,1
11,1/3/2020 15:00:00,White,1,10,0,1
12,1/4/2020 15:00:00,White,1,11,1,2
13,1/5/2020 15:00:00,Other Race,1,1,0,0
14,1/5/2020 15:00:00,Asian,1,2,0,1
15,1/5/2020 15:00:00,White,1,12,0,2
16,1/6/2020 15:00:00,Other Race,1,2,0,0
17,1/6/2020 15:00:00,White,1,13,0,2
18,1/15/2020 15:00:00,White,1,14,0,2
19,1/16/2020 15:00:00,White,1,15,0,2
20,1/17/2020 15:00:00,Other Race,1,3,0,0
21,1/20/2020 15:00:00,White,1,16,0,2
22,1/21/2020 15:00:00,White,1,17,0,2
23,1/22/2020 15:00:00,White,1,18,1,3
24,1/22/2020 15:00:00,Black or African American,1,2,0,0
25,1/23/2020 15:00:00,Other Race,1,4,0,0
26,1/27/2020 15:00:00,White,3,21,0,3
27,1/30/2020 15:00:00,White,1,22,1,4
28,1/30/2020 15:00:00,Black or African American,1,3,1,1
29,1/31/2020 15:00:00,Asian,1,3,0,1
30,1/31/2020 15:00:00,White,1,23,1,5
31,2/1/2020 15:00:00,Other Race,1,5,1,1
32,2/1/2020 15:00:00,White,1,24,1,6
33,2/2/2020 15:00:00,White,0,24,1,7
34,2/3/2020 15:00:00,White,2,26,0,7
35,2/4/2020 15:00:00,White,0,26,1,8
36,2/6/2020 15:00:00,Black or African American,1,4,0,1
37,2/7/2020 15:00:00,White,1,27,0,8
38,2/16/2020 15:00:00,White,1,28,0,8
39,2/17/2020 15:00:00,White,0,28,1,9
40,2/19/2020 15:00:00,Other Race,0,5,1,2
41,2/23/2020 15:00:00,White,2,30,0,9
42,2/24/2020 15:00:00,White,2,32,1,10
43,3/1/2020 15:00:00,White,3,35,1,11
44,3/4/2020 15:00:00,White,1,36,0,11
45,3/5/2020 15:00:00,White,1,37,1,12
46,3/8/2020 15:00:00,Black or African American,1,5,1,2
47,3/10/2020 15:00:00,White,1,38,0,12
48,3/11/2020 15:00:00,White,2,40,1,13
49,3/17/2020 15:00:00,White,1,41,0,13
50,4/1/2020 15:00:00,White,1,42,0,13
51,5/1/2020 15:00:00,White,0,42,1,14
52,8/4/2020 15:00:00,White,1,43,0,14
