ReportDate,AlloDistrib_ID,FirstDose_AdminDaily,FirstDose_AdminCum,FirstDose_AdminSevenDayAvg,SecDose_AdminDaily,SecDose_AdminCum,SecDose_AdminSevenDayAvg,ThrDose_AdminDaily,ThrDose_AdminCum,ThrDose_AdminSevenDayAvg,SingleDose_AdminDaily,SingleDose_AdminCum,SingleDose_AdminSevenDayAvg,Total_AdminDaily,Total_AdminCum,Total_AdminSevenDayAvg,Total_AdminDaily_WO_ThirdDose,Total_AdminCum_WO_ThirdDose,Total_AdminSevenDayAvg_WO_ThirdDose
2020-12-19 15:00:00,5,,,,,,,0,0,0,,,,595,4194,595,595,4194,595
2020-12-20 15:00:00,6,,,,,,,0,0,0,,,,165,4359,380,165,4359,380
2020-12-21 15:00:00,7,,,,,,,0,0,0,,,,2960,7554,1240,2960,7554,1240
2020-12-22 15:00:00,8,,,,,,,0,0,0,,,,3125,10497,1711,3125,10497,1711
2020-12-23 15:00:00,9,,,,,,,0,0,0,,,,3605,14102,2090,3605,14102,2090
2020-12-24 15:00:00,10,,,,,,,0,0,0,,,,2799,16902,2208,2799,16902,2208
2020-12-25 15:00:00,11,,,,,,,0,0,0,,,,1887,18789,2162,1887,18789,2162
2020-12-26 15:00:00,12,,,,,,,0,0,0,,,,1028,19818,2224,1028,19818,2224
2020-12-27 15:00:00,13,,,,,,,0,0,0,,,,994,20812,2343,994,20812,2343
2020-12-28 15:00:00,14,,,,,,,0,0,0,,,,7816,28615,3036,7816,28615,3036
2020-12-29 15:00:00,15,,,,,,,0,0,0,,,,8052,36669,3740,8052,36669,3740
2020-12-30 15:00:00,16,,,,,,,0,0,0,,,,10343,47012,4703,10343,47012,4703
2020-12-31 15:00:00,17,,,,,,,0,0,0,,,,7047,54060,5310,7047,54060,5310
2021-01-01 15:00:00,18,2091.0,56151.0,2091.0,,,,0,0,0,,,,2091,56151,5339,2091,56151,5339
2021-01-02 15:00:00,19,3617.0,59769.0,2854.0,,,,0,0,0,,,,3617,59769,5709,3617,59769,5709
2021-01-03 15:00:00,20,2112.0,65692.0,2607.0,,,,0,0,0,,,,2112,65692,5868,2112,65692,5868
2021-01-04 15:00:00,21,11553.0,76918.0,4843.0,,,,0,0,0,,,,11553,76918,6402,11553,76918,6402
2021-01-05 15:00:00,22,9815.0,86733.0,5838.0,742.0,742.0,742.0,0,0,0,,,,10557,87475,6760,10557,87475,6760
2021-01-06 15:00:00,23,11803.0,98536.0,6832.0,732.0,1474.0,737.0,0,0,0,,,,12535,100010,7073,12535,100010,7073
2021-01-07 15:00:00,24,13224.0,111760.0,7745.0,1450.0,2924.0,975.0,0,0,0,,,,14674,114684,8163,14674,114684,8163
2021-01-08 15:00:00,25,122111.0,131880.0,24891.0,1902.0,4826.0,1207.0,0,0,0,,,,14113,136706,9880,14113,136706,9880
2021-01-09 15:00:00,26,12333.0,144213.0,26136.0,1363.0,6189.0,1238.0,0,0,0,,,,13696,150402,11320,13696,150402,11320
2021-01-10 15:00:00,27,3293.0,147506.0,26305.0,477.0,666.0,1111.0,0,0,0,,,,3770,154172,11557,3770,154172,11557
2021-01-11 15:00:00,28,12623.0,160129.0,26457.0,2989.0,9655.0,1379.0,0,0,0,,,,15612,169784,12137,15612,169784,12137
2021-01-12 15:00:00,29,12778.0,172907.0,26881.0,3049.0,12704.0,1709.0,0,0,0,,,,15827,185611,12890,15827,185611,12890
2021-01-13 15:00:00,30,13508.0,186414.0,27124.0,13508.0,15840.0,3534.0,0,0,0,,,,11424,202254,12731,11424,202254,12731
2021-01-14 15:00:00,44,16810.0,203224.0,27637.0,1653.0,18463.0,3563.0,0,0,0,,,,18463,220717,13272,18463,220717,13272
2021-01-15 15:00:00,43,21396.0,224620.0,13249.0,3153.0,24549.0,3742.0,0,0,0,,,,24549,245266,14763,24549,245266,14763
2021-01-16 15:00:00,42,7120.0,231740.0,12504.0,650.0,7770.0,3640.0,0,0,0,,,,7770,253036,13916,7770,253036,13916
2021-01-17 15:00:00,41,1571.0,233311.0,12258.0,503.0,2074.0,3644.0,0,0,0,,,,2074,255110,13674,2074,255110,13674
2021-01-18 15:00:00,40,7985.0,241294.0,11595.0,2562.0,10547.0,3583.0,0,0,0,,,,10547,265657,12951,10547,265657,12951
2021-01-19 15:00:00,39,9969.0,251263.0,11194.0,3756.0,13725.0,3684.0,0,0,0,,,,13725,279382,12650,13725,279382,12650
2021-01-20 15:00:00,38,12831.0,264094.0,11097.0,2761.0,15592.0,2148.0,0,0,0,,,,15592,294974,13246,15592,294974,13246
2021-01-21 15:00:00,37,16675.0,280769.0,11078.0,3212.0,19887.0,2371.0,0,0,0,,,,19887,314861,13449,19887,314861,13449
2021-01-22 15:00:00,36,27697.0,308466.0,11978.0,3415.0,37507.0,2408.0,0,0,0,,,,31112,345973,14387,31112,345973,14387
2021-01-23 15:00:00,35,10541.0,319007.0,12467.0,1748.0,39255.0,2565.0,0,0,0,,,,12289,358262,15032,12289,358262,15032
2021-01-24 15:00:00,34,11702.0,330709.0,13914.0,2973.0,42228.0,2918.0,0,0,0,,,,14675,372937,16832,14675,372937,16832
2021-01-25 15:00:00,33,17317.0,348026.0,15247.0,6407.0,48635.0,3467.0,0,0,0,,,,23724,396661,18715,23724,396661,18715
2021-01-26 15:00:00,32,15256.0,363282.0,16003.0,7662.0,56297.0,4025.0,0,0,0,,,,22918,419579,20028,22918,419579,20028
2021-01-27 15:00:00,31,20017.0,383300.0,17029.0,10319.0,66616.0,5105.0,0,0,0,,,,30337,449916,22135,30337,449916,22135
2021-01-28 15:00:00,45,22868.0,406168.0,17914.0,10365.0,76981.0,6127.0,0,0,0,,,,33233,483149,24041,33233,483149,24041
2021-01-29 15:00:00,46,23815.0,429983.0,17359.0,5841.0,82822.0,6474.0,0,0,0,,,,29656,512805,23833,29656,512805,23833
2021-01-30 15:00:00,47,18516.0,448499.0,18499.0,4317.0,87139.0,6841.0,0,0,0,,,,22833,535638,25339,22833,535638,25339
2021-01-31 15:00:00,48,7411.0,455910.0,17886.0,1320.0,88459.0,6604.0,0,0,0,,,,8731,544369,24490,8731,544369,24490
2021-02-01 15:00:00,49,6252.0,462162.0,16305.0,3112.0,91571.0,6134.0,0,0,0,,,,9364,553733,22439,9364,553733,22439
2021-02-02 15:00:00,54,9429.0,471591.0,15473.0,9969.0,101540.0,6463.0,0,0,0,,,,19398,573131,21936,19398,573131,21936
2021-02-03 15:00:00,55,14515.0,486106.0,14687.0,14268.0,115808.0,7027.0,0,0,0,,,,28783,601914,21714,28783,601914,21714
2021-02-04 15:00:00,56,17759.0,503865.0,13957.0,14382.0,130190.0,7601.0,0,0,0,,,,32141,634055,21558,32141,634055,21558
2021-02-05 15:00:00,57,21479.0,525344.0,13623.0,16365.0,146555.0,9105.0,0,0,0,,,,37844,671899,22728,37844,671899,22728
2021-02-06 15:00:00,58,13719.0,539063.0,12938.0,4463.0,151018.0,9126.0,0,0,0,,,,18182,690081,22063,18182,690081,22063
2021-02-07 15:00:00,59,6030.0,545093.0,12740.0,3622.0,154640.0,9454.0,0,0,0,,,,9652,699733,22195,9652,699733,22195
2021-02-08 15:00:00,60,13745.0,558838.0,13811.0,14350.0,168990.0,11060.0,0,0,0,,,,28095,727828,24871,28095,727828,24871
2021-02-09 15:00:00,61,11657.0,570495.0,14129.0,12551.0,181541.0,11429.0,0,0,0,,,,24208,752036,25558,24208,752036,25558
2021-02-10 15:00:00,62,16685.0,587180.0,14439.0,16449.0,197990.0,11740.0,0,0,0,,,,33134,785170,26179,33134,785170,26179
2021-02-11 15:00:00,63,18230.0,605410.0,14506.0,15078.0,213068.0,11840.0,0,0,0,,,,33308,818478,26346,33308,818478,26346
2021-02-12 15:00:00,64,20372.0,625782.0,14348.0,18158.0,231226.0,12096.0,0,0,0,,,,38530,857008,26444,38530,857008,26444
2021-02-13 15:00:00,65,13720.0,639502.0,14348.0,6604.0,237830.0,12402.0,0,0,0,,,,20324,877332,26750,20324,877332,26750
2021-02-14 15:00:00,67,10030.0,649532.0,14920.0,6498.0,244658.0,12813.0,0,0,0,,,,16528,893860,27732,16528,893860,27732
2021-02-15 15:00:00,68,5745.0,655277.0,13777.0,9374.0,253702.0,12102.0,0,0,0,,,,15119,908979,25879,15119,908979,25879
2021-02-16 15:00:00,70,15695.0,670972.0,14354.0,11883.0,265585.0,12006.0,0,0,0,,,,27578,936557,26360,27578,936557,26360
2021-02-17 15:00:00,72,13625.0,684597.0,13917.0,20275.0,285860.0,12553.0,0,0,0,,,,33900,970457,26470,33900,970457,26470
2021-02-18 15:00:00,73,22288.0,706885.0,14496.0,20304.0,306164.0,13299.0,0,0,0,,,,42592,1013049,27796,42592,1013049,27796
2021-02-19 15:00:00,74,10854.0,717739.0,13137.0,20687.0,326851.0,13661.0,0,0,0,,,,31541,1044590,26797,31541,1044590,26797
2021-02-20 15:00:00,75,10812.0,728551.0,12721.0,11944.0,338795.0,14424.0,0,0,0,,,,22756,1067346,27145,22756,1067346,27145
2021-02-21 15:00:00,76,8788.0,737339.0,12544.0,10952.0,349747.0,15060.0,0,0,0,,,,19740,1087086,27604,19740,1087086,27604
2021-02-22 15:00:00,77,9580.0,746919.0,13092.0,15985.0,365732.0,16004.0,0,0,0,,,,25565,1112651,29096,25565,1112651,29096
2021-02-23 15:00:00,78,21549.0,768468.0,13928.0,15067.0,380799.0,16459.0,0,0,0,,,,36616,1149267,30387,36616,1149267,30387
2021-02-24 15:00:00,79,15797.0,784265.0,14238.0,22743.0,403542.0,16812.0,0,0,0,,,,38540,1187807,31050,38540,1187807,31050
2021-02-25 15:00:00,80,15198.0,799463.0,13225.0,23442.0,426984.0,17260.0,0,0,0,,,,38640,1226447,30485,38640,1226447,30485
2021-02-26 15:00:00,81,20935.0,820398.0,14666.0,22436.0,449420.0,17510.0,0,0,0,,,,43371,1269818,32175,43371,1269818,32175
2021-02-27 15:00:00,82,22398.0,842796.0,16321.0,14728.0,464148.0,17908.0,0,0,0,,,,37126,1306944,34228,37126,1306944,34228
2021-02-28 15:00:00,83,15781.0,858577.0,17320.0,9863.0,474011.0,17752.0,0,0,0,,,,25644,1332588,35072,25644,1332588,35072
2021-03-01 15:00:00,84,19916.0,878493.0,18796.0,10254.0,484265.0,16933.0,0,0,0,,,,30170,1362758,35730,30170,1362758,35730
2021-03-02 15:00:00,85,21965.0,900458.0,18856.0,10002.0,494267.0,16210.0,0,0,0,,,,31967,1394725,35065,31967,1394725,35065
2021-03-03 15:00:00,86,26096.0,926554.0,20327.0,15575.0,509842.0,15186.0,0,0,0,58.0,58.0,58.0,41729,1436454,35521,41729,1436454,35521
2021-03-04 15:00:00,87,29909.0,956463.0,22429.0,16475.0,526317.0,14190.0,0,0,0,2685.0,2743.0,1372.0,49069,1485523,37011,49069,1485523,37011
2021-03-05 15:00:00,88,31239.0,987702.0,23901.0,19245.0,545562.0,13735.0,0,0,0,5051.0,7794.0,2598.0,55535,1541058,38749,55535,1541058,38749
2021-03-06 15:00:00,89,21797.0,1009499.0,23815.0,12298.0,557860.0,13387.0,0,0,0,3317.0,11111.0,2778.0,37412,1578470,38789,37412,1578470,38789
2021-03-07 15:00:00,90,10781.0,1020280.0,23100.0,6613.0,564473.0,12923.0,0,0,0,8346.0,19457.0,3891.0,25740,1604210,38803,25740,1604210,38803
2021-03-08 15:00:00,91,23670.0,1043950.0,23637.0,8144.0,572617.0,12622.0,0,0,0,7914.0,27371.0,4562.0,39728,1643938,40169,39728,1643938,40169
