OBJECTID,ReportDate,FirstDose_AdminDaily,FirstDose_AdminCum,FirstDose_AdminSevenDayAvg,SecDose_AdminDaily,SecDose_AdminCum,SecDose_AdminSevenDayAvg,SingleDose_AdminDaily,SingleDose_AdminCum,SingleDose_AdminSevenDayAvg,Total_AdminDaily,Total_AdminCum,Total_AdminSevenDayAvg
1,10/1/2021 15:00:00,6899.000000000000000,3957284.000000000000000,3880.000000000000000,6608.000000000000000,3599123.000000000000000,3808.000000000000000,742.000000000000000,304019.000000000000000,572.000000000000000,14249,7860426,8261
2,9/30/2021 15:00:00,2413.000000000000000,3950385.000000000000000,3688.000000000000000,2521.000000000000000,3592515.000000000000000,3741.000000000000000,782.000000000000000,303277.000000000000000,523.000000000000000,5716,7846177,7952
3,9/29/2021 15:00:00,3750.000000000000000,3947972.000000000000000,4014.000000000000000,3870.000000000000000,3589994.000000000000000,4141.000000000000000,964.000000000000000,302495.000000000000000,490.000000000000000,8584,7840461,8645
4,9/28/2021 15:00:00,3728.000000000000000,3944222.000000000000000,4009.000000000000000,3079.000000000000000,3586124.000000000000000,4209.000000000000000,294.000000000000000,301531.000000000000000,418.000000000000000,7101,7831877,8637
5,9/27/2021 15:00:00,3863.000000000000000,3940494.000000000000000,4109.000000000000000,3470.000000000000000,3583045.000000000000000,4583.000000000000000,445.000000000000000,301237.000000000000000,428.000000000000000,7778,7824776,9120
6,9/26/2021 15:00:00,2696.000000000000000,3936631.000000000000000,3983.000000000000000,2919.000000000000000,3579575.000000000000000,4631.000000000000000,408.000000000000000,300792.000000000000000,424.000000000000000,6023,7816998,9038
7,9/25/2021 15:00:00,3810.000000000000000,3933935.000000000000000,4111.000000000000000,4191.000000000000000,3576656.000000000000000,4843.000000000000000,372.000000000000000,300384.000000000000000,380.000000000000000,8373,7810975,9334
8,9/24/2021 15:00:00,5557.000000000000000,3930125.000000000000000,4147.000000000000000,6134.000000000000000,3572465.000000000000000,4982.000000000000000,399.000000000000000,300012.000000000000000,353.000000000000000,12090,7802602,9482
9,9/23/2021 15:00:00,4693.000000000000000,3924568.000000000000000,4077.000000000000000,5326.000000000000000,3566331.000000000000000,4946.000000000000000,550.000000000000000,299613.000000000000000,340.000000000000000,10569,7790512,9364
10,9/22/2021 15:00:00,3718.000000000000000,3919875.000000000000000,4045.000000000000000,4347.000000000000000,3561005.000000000000000,4941.000000000000000,461.000000000000000,299063.000000000000000,308.000000000000000,8526,7779943,9294
11,9/21/2021 15:00:00,4423.000000000000000,3916157.000000000000000,4264.000000000000000,5694.000000000000000,3556658.000000000000000,5192.000000000000000,362.000000000000000,298602.000000000000000,298.000000000000000,10479,7771417,9755
12,9/20/2021 15:00:00,2983.000000000000000,3911734.000000000000000,4353.000000000000000,3805.000000000000000,3550964.000000000000000,5196.000000000000000,418.000000000000000,298240.000000000000000,312.000000000000000,7206,7760938,9861
13,9/19/2021 15:00:00,3595.000000000000000,3908751.000000000000000,4487.000000000000000,4401.000000000000000,3547159.000000000000000,5231.000000000000000,98.000000000000000,297822.000000000000000,301.000000000000000,8094,7753732,10019
14,9/18/2021 15:00:00,4059.000000000000000,3905156.000000000000000,4489.000000000000000,5166.000000000000000,3542758.000000000000000,5153.000000000000000,186.000000000000000,297724.000000000000000,358.000000000000000,9411,7745638,10000
15,9/17/2021 15:00:00,5070.000000000000000,3901097.000000000000000,4785.000000000000000,5886.000000000000000,3537592.000000000000000,5285.000000000000000,308.000000000000000,297538.000000000000000,621.000000000000000,11264,7736227,10690
16,9/16/2021 15:00:00,4469.000000000000000,3896027.000000000000000,4799.000000000000000,5287.000000000000000,3531706.000000000000000,5257.000000000000000,324.000000000000000,297230.000000000000000,622.000000000000000,10080,7724963,10677
17,9/15/2021 15:00:00,5250.000000000000000,3891558.000000000000000,4955.000000000000000,6106.000000000000000,3526419.000000000000000,5422.000000000000000,393.000000000000000,296906.000000000000000,627.000000000000000,11749,7714883,11003
