OBJECTID,CumulativeTotalVaccinatedDos_1,CumulativeTotalVaccinatedDos_2,CumulativeTotalVaccinated,CumulativeTotalVaccinatedDat_4
1,59740,29,59769,1/3/2021 15:00:00
2,65599,93,65692,1/4/2021 15:00:00
3,76916,326,77242,1/5/2021 15:00:00
4,86733,742,87475,1/6/2021 15:00:00
5,98536,1474,100010,1/7/2021 15:00:00
6,111760,2924,114684,1/8/2021 15:00:00
7,123971,4826,128797,1/9/2021 15:00:00
8,136213,6189,142402,1/10/2021 15:00:00
9,139506,6666,146172,1/11/2021 15:00:00
10,152129,9655,161784,1/12/2021 15:00:00
11,164907,12704,177611,1/13/2021 15:00:00
12,178415,15840,194255,1/14/2021 15:00:00
13,195220,17493,212713,1/15/2021 15:00:00
14,216620,20646,237266,1/16/2021 15:00:00
15,223740,21296,245036,1/17/2021 15:00:00
16,233309,21801,255110,1/18/2021 15:00:00
17,241294,24363,265657,1/19/2021 15:00:00
18,251293,28119,279412,1/20/2021 15:00:00
19,264094,30880,294974,1/21/2021 15:00:00
20,280769,34092,314861,1/22/2021 15:00:00
21,308466,37507,345973,1/23/2021 15:00:00
22,319007,39255,358262,1/24/2021 15:00:00
23,330709,42228,372937,1/25/2021 15:00:00
24,348026,48635,396661,1/26/2021 15:00:00
25,363282,56297,419579,1/27/2021 15:00:00
26,383300,66616,449916,1/28/2021 15:00:00
27,406168,76981,483149,1/29/2021 15:00:00
28,429983,82822,512805,1/30/2021 15:00:00
29,448499,87139,535638,1/31/2021 15:00:00
30,455910,88459,544369,2/1/2021 15:00:00
31,462162,91571,553733,2/2/2021 15:00:00
32,471591,101540,573131,2/3/2021 15:00:00
33,486106,115808,601914,2/4/2021 15:00:00
34,503865,130190,634055,2/5/2021 15:00:00
35,525344,146555,671899,2/6/2021 15:00:00
36,539063,151018,690081,2/7/2021 15:00:00
37,545093,154640,699733,2/8/2021 15:00:00
38,558838,168990,727828,2/9/2021 15:00:00
39,570495,181541,752036,2/10/2021 15:00:00
40,587180,197990,785170,2/11/2021 15:00:00
41,605410,213068,818478,2/12/2021 15:00:00
42,625782,231226,857008,2/13/2021 15:00:00
43,639502,237830,877332,2/14/2021 15:00:00
44,649532,244328,893860,2/15/2021 15:00:00
45,655277,253702,908979,2/16/2021 15:00:00
46,670972,265585,936557,2/17/2021 15:00:00
47,684597,285860,970457,2/18/2021 15:00:00
48,706885,306164,1013049,2/19/2021 15:00:00
49,717739,326851,1044590,2/20/2021 15:00:00
50,728551,338795,1067346,2/21/2021 15:00:00
51,737339,349747,1087086,2/22/2021 15:00:00
52,746919,365732,1112651,2/23/2021 15:00:00
53,768468,380799,1149267,2/24/2021 15:00:00
54,784265,403542,1187807,2/25/2021 15:00:00
55,799463,426984,1226447,2/26/2021 15:00:00
56,820398,449420,1269818,2/27/2021 15:00:00
57,842796,464148,1306944,2/28/2021 15:00:00
58,858577,474011,1332588,3/1/2021 15:00:00
59,878493,484265,1362758,3/2/2021 15:00:00
60,900458,494267,1394725,3/3/2021 15:00:00
61,926554,509842,1436396,3/4/2021 15:00:00
62,956463,526317,1482780,3/5/2021 15:00:00
63,987702,545562,1533264,3/6/2021 15:00:00
64,1009499,557860,1567359,3/7/2021 15:00:00
65,1020280,564473,1584753,3/8/2021 15:00:00
66,1043950,572617,1616567,3/9/2021 15:00:00
67,1069280,584390,1653670,3/10/2021 15:00:00
68,1096241,598647,1694888,3/11/2021 15:00:00
69,1124484,611861,1736345,3/12/2021 15:00:00
70,1165227,624866,1790093,3/13/2021 15:00:00
71,1189399,639118,1828517,3/14/2021 15:00:00
72,1206078,647759,1853837,3/15/2021 15:00:00
73,1235750,658507,1894257,3/16/2021 15:00:00
74,1267326,672922,1940248,3/17/2021 15:00:00
75,1296808,688379,1985187,3/18/2021 15:00:00
76,1341728,699817,2041545,3/19/2021 15:00:00
77,1379293,713027,2092320,3/20/2021 15:00:00
78,1404685,724055,2128740,3/21/2021 15:00:00
79,1425767,733840,2159607,3/22/2021 15:00:00
80,1451589,743876,2195465,3/23/2021 15:00:00
81,1488253,756690,2244943,3/24/2021 15:00:00
82,1526126,771942,2298068,3/25/2021 15:00:00
83,1568466,791320,2359786,3/26/2021 15:00:00
84,1603956,812297,2416253,3/27/2021 15:00:00
85,1633413,831549,2464962,3/28/2021 15:00:00
86,1652999,841925,2494924,3/29/2021 15:00:00
87,1680749,868103,2548852,3/30/2021 15:00:00
