OBJECTID,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccination_12,FirstSecondSingleVaccination_13
1,12/14/2020 15:00:00,14,771,,311,,,14,771,0,311,14,994
2,12/15/2020 15:00:00,39,810,2.000000000000000,313,,,39,810,2,313,41,1035
3,12/16/2020 15:00:00,568,1378,2.000000000000000,315,,,568,1378,2,315,570,1605
4,12/17/2020 15:00:00,1121,2499,2.000000000000000,317,,,1121,2499,2,317,1123,2728
5,12/18/2020 15:00:00,2987,5486,9.000000000000000,326,,,2987,5486,9,326,2996,5724
6,12/19/2020 15:00:00,916,6402,5.000000000000000,331,,,916,6402,5,331,921,6645
7,12/20/2020 15:00:00,320,6722,3.000000000000000,334,,,320,6722,3,334,323,6968
8,12/21/2020 15:00:00,3833,10555,12.000000000000000,346,,,3833,10555,12,346,3845,10813
9,12/22/2020 15:00:00,6302,16857,9.000000000000000,355,,,6302,16857,9,355,6311,17124
10,12/23/2020 15:00:00,5708,22565,22.000000000000000,377,,,5708,22565,22,377,5730,22854
11,12/24/2020 15:00:00,2703,25268,8.000000000000000,385,,,2703,25268,8,385,2711,25565
12,12/25/2020 15:00:00,1032,26300,3.000000000000000,388,,,1032,26300,3,388,1035,26600
13,12/26/2020 15:00:00,1853,28153,6.000000000000000,394,,,1853,28153,6,394,1859,28459
14,12/27/2020 15:00:00,1783,29936,9.000000000000000,403,,,1783,29936,9,403,1792,30251
15,12/28/2020 15:00:00,8904,38840,31.000000000000000,434,,,8904,38840,31,434,8935,39186
16,12/29/2020 15:00:00,10889,49729,26.000000000000000,460,,,10889,49729,26,460,10915,50101
17,12/30/2020 15:00:00,12412,62141,55.000000000000000,515,,,12412,62141,55,515,12467,62568
18,12/31/2020 15:00:00,7487,69628,26.000000000000000,541,,,7487,69628,26,541,7513,70081
19,1/1/2021 15:00:00,2259,71887,85.000000000000000,626,,,2259,71887,85,626,2344,72425
20,1/2/2021 15:00:00,2929,74816,32.000000000000000,658,,,2929,74816,32,658,2961,75386
21,1/3/2021 15:00:00,3347,78163,76.000000000000000,734,,,3347,78163,76,734,3423,78809
22,1/4/2021 15:00:00,13198,91361,297.000000000000000,1031,,,13198,91361,297,1031,13495,92304
23,1/5/2021 15:00:00,12333,103694,494.000000000000000,1525,,,12333,103694,494,1525,12827,105131
24,1/6/2021 15:00:00,15095,118789,818.000000000000000,2343,,,15095,118789,818,2343,15913,121044
25,1/7/2021 15:00:00,14902,133691,1702.000000000000000,4045,,,14902,133691,1702,4045,16604,137648
26,1/8/2021 15:00:00,23882,157573,2707.000000000000000,6752,,,23882,157573,2707,6752,26589,164237
27,1/9/2021 15:00:00,5092,162665,934.000000000000000,7686,,,5092,162665,934,7686,6026,170263
28,1/10/2021 15:00:00,2886,165551,360.000000000000000,8046,,,2886,165551,360,8046,3246,173509
29,1/11/2021 15:00:00,13627,179178,3382.000000000000000,11428,,,13627,179178,3382,11428,17009,190518
30,1/12/2021 15:00:00,17216,196394,5545.000000000000000,16973,,,17216,196394,5545,16973,22761,213279
31,1/13/2021 15:00:00,18441,214835,3825.000000000000000,20798,,,18441,214835,3825,20798,22266,235545
32,1/14/2021 15:00:00,17752,232587,1895.000000000000000,22693,,,17752,232587,1895,22693,19647,255192
33,1/15/2021 15:00:00,19401,251988,1919.000000000000000,24612,,,19401,251988,1919,24612,21320,276512
34,1/16/2021 15:00:00,5737,257725,1567.000000000000000,26179,,,5737,257725,1567,26179,7304,283816
35,1/17/2021 15:00:00,2082,259807,1459.000000000000000,27638,,,2082,259807,1459,27638,3541,287357
36,1/18/2021 15:00:00,6995,266802,3209.000000000000000,30847,,,6995,266802,3209,30847,10204,297561
37,1/19/2021 15:00:00,17098,283900,5293.000000000000000,36140,,,17098,283900,5293,36140,22391,319952
38,1/20/2021 15:00:00,21170,305070,5210.000000000000000,41350,,,21170,305070,5210,41350,26380,346332
39,1/21/2021 15:00:00,23732,328802,3635.000000000000000,44985,,,23732,328802,3635,44985,27367,373699
40,1/22/2021 15:00:00,28785,357587,3538.000000000000000,48523,,,28785,357587,3538,48523,32323,406022
41,1/23/2021 15:00:00,9991,367578,1886.000000000000000,50409,,,9991,367578,1886,50409,11877,417899
42,1/24/2021 15:00:00,3302,370880,1694.000000000000000,52103,,,3302,370880,1694,52103,4996,422895
43,1/25/2021 15:00:00,16577,387457,8452.000000000000000,60555,,,16577,387457,8452,60555,25029,447924
44,1/26/2021 15:00:00,17834,405291,8848.000000000000000,69403,,,17834,405291,8848,69403,26682,474606
45,1/27/2021 15:00:00,25002,430293,12330.000000000000000,81733,,,25002,430293,12330,81733,37332,511938
46,1/28/2021 15:00:00,23240,453533,9166.000000000000000,90899,,,23240,453533,9166,90899,32406,544344
