OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedAllDoses,CombinedAllDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
1,10/29/2021 15:00:00,11 and Under,1,1,,0,,0,,0,,0
2,10/30/2021 15:00:00,11 and Under,3,4,,0,,0,,0,,0
3,10/31/2021 15:00:00,11 and Under,,4,1.000000000000000,1,,0,,0,,0
4,11/1/2021 15:00:00,11 and Under,8,12,1.000000000000000,2,,0,,0,,0
5,11/2/2021 15:00:00,11 and Under,5,17,1.000000000000000,3,,0,,0,,0
6,11/3/2021 15:00:00,11 and Under,138,155,,3,,0,,0,,0
7,11/4/2021 15:00:00,11 and Under,2034,2189,,3,,0,,0,,0
8,11/5/2021 15:00:00,11 and Under,3306,5495,2.000000000000000,5,,0,,0,,0
9,11/6/2021 15:00:00,11 and Under,7488,12983,7.000000000000000,12,,0,,0,,0
10,11/7/2021 15:00:00,11 and Under,5942,18925,64.000000000000000,76,,0,,0,,0
11,11/8/2021 15:00:00,11 and Under,7869,26794,6.000000000000000,82,,0,,0,,0
12,11/9/2021 15:00:00,11 and Under,7780,34574,32.000000000000000,114,,0,,0,,0
13,11/10/2021 15:00:00,11 and Under,8528,43102,83.000000000000000,197,,0,,0,,0
14,11/11/2021 15:00:00,11 and Under,7236,50338,19.000000000000000,216,,0,,0,,0
15,11/12/2021 15:00:00,11 and Under,7260,57598,9.000000000000000,225,,0,,0,,0
16,11/13/2021 15:00:00,11 and Under,7260,64858,5.000000000000000,230,,0,,0,,0
17,11/14/2021 15:00:00,11 and Under,2190,67048,3.000000000000000,233,1,1,2194,2194,4,4
18,11/15/2021 15:00:00,11 and Under,4947,71995,7.000000000000000,240,,1,,2194,,4
19,11/16/2021 15:00:00,11 and Under,5310,77305,15.000000000000000,255,,1,,2194,,4
20,11/17/2021 15:00:00,11 and Under,5247,82552,117.000000000000000,372,1,2,5365,7559,118,122
21,11/18/2021 15:00:00,11 and Under,5143,87695,23.000000000000000,395,,2,,7559,,122
22,11/19/2021 15:00:00,11 and Under,4910,92605,13.000000000000000,408,,2,,7559,,122
23,11/20/2021 15:00:00,11 and Under,7302,99907,18.000000000000000,426,,2,,7559,,122
24,11/21/2021 15:00:00,11 and Under,1983,101890,8.000000000000000,434,,2,,7559,,122
25,11/22/2021 15:00:00,11 and Under,5042,106932,26.000000000000000,460,,2,,7559,,122
26,11/23/2021 15:00:00,11 and Under,4290,111222,29.000000000000000,489,,2,,7559,,122
27,11/24/2021 15:00:00,11 and Under,3824,115046,340.000000000000000,829,8,10,4172,11731,348,470
28,11/25/2021 15:00:00,11 and Under,97,115143,11.000000000000000,840,,10,,11731,,470
29,11/26/2021 15:00:00,11 and Under,1821,116964,1710.000000000000000,2550,,10,,11731,,470
30,11/27/2021 15:00:00,11 and Under,1332,118296,4352.000000000000000,6902,,10,,11731,,470
31,11/28/2021 15:00:00,11 and Under,656,118952,5524.000000000000000,12426,,10,,11731,,470
32,11/29/2021 15:00:00,11 and Under,2146,121098,6910.000000000000000,19336,,10,,11731,,470
33,11/30/2021 15:00:00,11 and Under,2179,123277,7067.000000000000000,26403,,10,,11731,,470
34,12/1/2021 15:00:00,11 and Under,1891,125168,7147.000000000000000,33550,2,12,9040,20771,7149,7619
35,12/2/2021 15:00:00,11 and Under,1636,126804,6284.000000000000000,39834,,12,,20771,,7619
36,12/3/2021 15:00:00,11 and Under,2031,128835,6618.000000000000000,46452,,12,,20771,,7619
