Deliv_1,Deliv_2,TotalSingleDoseDelivered,Delivered_Total,FirstDoseCumulative,FirstDosePercentVaccinated,SecondDoseCumulative,SecondDosePercentVaccinated,SingleDoseDistributed,SingleDosePercentVaccinated,FirstSecondSingleDistributed,FirstSecondSinglePercentVaccinated,VaxCompletedDistributed,FullyVaxCumulativePercentVaccinated,FirstDoseDelta,SecondDoseDelta,SingleDoseDelta,EighteenPlusAtLeastOneDose
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
0,0,0,7181350,2970424,49.133,2320505,38.383,212081,3.508,5503010,91.024,2532586,41.891,22656,29142,1471,65.9
