VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,AtLeastOnceDose,AtLeastOneDoseCumulative,FullyVaccinated,FullyVaccinatedCumulative
2020-12-14 15:00:00,age20to29,4.0,4,,0,,0,,4,,0
2020-12-15 15:00:00,age20to29,5.0,9,,0,,0,,9,,0
2020-12-16 15:00:00,age20to29,103.0,112,,0,,0,,112,,0
2020-12-17 15:00:00,age20to29,191.0,303,2.0,2,,0,,303,,2
2020-12-18 15:00:00,age20to29,377.0,680,,2,,0,,680,,2
2020-12-19 15:00:00,age20to29,110.0,790,2.0,4,,0,,790,,4
2020-12-20 15:00:00,age20to29,45.0,835,1.0,5,,0,,835,,5
2020-12-21 15:00:00,age20to29,502.0,1337,3.0,8,,0,,1337,,8
2020-12-22 15:00:00,age20to29,667.0,2004,1.0,9,,0,,2004,,9
2020-12-23 15:00:00,age20to29,691.0,2695,1.0,10,,0,,2695,,10
2020-12-24 15:00:00,age20to29,356.0,3051,,10,,0,,3051,,10
2020-12-25 15:00:00,age20to29,70.0,3121,1.0,11,,0,,3121,,11
2020-12-26 15:00:00,age20to29,150.0,3271,1.0,12,,0,,3271,,12
2020-12-27 15:00:00,age20to29,144.0,3415,2.0,14,,0,,3415,,14
2020-12-28 15:00:00,age20to29,1176.0,4591,9.0,23,,0,,4591,,23
2020-12-29 15:00:00,age20to29,1350.0,5941,1.0,24,,0,,5941,,24
2020-12-30 15:00:00,age20to29,1784.0,7725,9.0,33,,0,,7725,,33
2020-12-31 15:00:00,age20to29,1104.0,8829,4.0,37,,0,,8829,,37
2021-01-01 15:00:00,age20to29,141.0,8970,8.0,45,,0,,8970,,45
2021-01-02 15:00:00,age20to29,436.0,9406,6.0,51,,0,,9406,,51
2021-01-03 15:00:00,age20to29,505.0,9911,18.0,69,,0,,9911,,69
2021-01-04 15:00:00,age20to29,1715.0,11626,60.0,129,,0,,11626,,129
2021-01-05 15:00:00,age20to29,1530.0,13156,78.0,207,,0,,13156,,207
2021-01-06 15:00:00,age20to29,1775.0,14931,144.0,351,,0,,14931,,351
2021-01-07 15:00:00,age20to29,1967.0,16898,215.0,566,,0,,16898,,566
2021-01-08 15:00:00,age20to29,2106.0,19004,330.0,896,,0,,19004,,896
2021-01-09 15:00:00,age20to29,671.0,19675,153.0,1049,,0,,19675,,1049
2021-01-10 15:00:00,age20to29,312.0,19987,66.0,1115,,0,,19987,,1115
2021-01-11 15:00:00,age20to29,1568.0,21555,444.0,1559,,0,,21555,,1559
2021-01-12 15:00:00,age20to29,1916.0,23471,590.0,2149,,0,,23471,,2149
2021-01-13 15:00:00,age20to29,2342.0,25813,423.0,2572,,0,,25813,,2572
2021-01-14 15:00:00,age20to29,2172.0,27985,265.0,2837,,0,,27985,,2837
2021-01-15 15:00:00,age20to29,2385.0,30370,183.0,3020,,0,,30370,,3020
2021-01-16 15:00:00,age20to29,712.0,31082,145.0,3165,,0,,31082,,3165
2021-01-17 15:00:00,age20to29,255.0,31337,182.0,3347,,0,,31337,,3347
2021-01-18 15:00:00,age20to29,474.0,31811,258.0,3605,,0,,31811,,3605
2021-01-19 15:00:00,age20to29,1224.0,33035,695.0,4300,,0,,33035,,4300
2021-01-20 15:00:00,age20to29,1449.0,34484,768.0,5068,,0,,34484,,5068
2021-01-21 15:00:00,age20to29,1856.0,36340,570.0,5638,,0,,36340,,5638
2021-01-22 15:00:00,age20to29,2206.0,38546,374.0,6012,,0,,38546,,6012
2021-01-23 15:00:00,age20to29,849.0,39395,189.0,6201,,0,,39395,,6201
2021-01-24 15:00:00,age20to29,196.0,39591,145.0,6346,,0,,39591,,6346
2021-01-25 15:00:00,age20to29,996.0,40587,894.0,7240,,0,,40587,,7240
2021-01-26 15:00:00,age20to29,1139.0,41726,1004.0,8244,,0,,41726,,8244
2021-01-27 15:00:00,age20to29,1363.0,43089,1482.0,9726,,0,,43089,,9726
2021-01-28 15:00:00,age20to29,1207.0,44296,1240.0,10966,,0,,44296,,10966
2021-01-29 15:00:00,age20to29,1307.0,45603,959.0,11925,,0,,45603,,11925
2021-01-30 15:00:00,age20to29,1007.0,46610,424.0,12349,,0,,46610,,12349
2021-01-31 15:00:00,age20to29,282.0,46892,82.0,12431,,0,,46892,,12431
2021-02-01 15:00:00,age20to29,351.0,47243,498.0,12929,,0,,47243,,12929
2021-02-02 15:00:00,age20to29,681.0,47924,1611.0,14540,,0,,47924,,14540
2021-02-03 15:00:00,age20to29,1079.0,49003,2229.0,16769,,0,,49003,,16769
2021-02-04 15:00:00,age20to29,1124.0,50127,1832.0,18601,,0,,50127,,18601
2021-02-05 15:00:00,age20to29,1223.0,51350,2234.0,20835,,0,,51350,,20835
2021-02-06 15:00:00,age20to29,759.0,52109,753.0,21588,,0,,52109,,21588
2021-02-07 15:00:00,age20to29,347.0,52456,220.0,21808,,0,,52456,,21808
2021-02-08 15:00:00,age20to29,749.0,53205,1541.0,23349,,0,,53205,,23349
2021-02-09 15:00:00,age20to29,959.0,54164,1441.0,24790,,0,,54164,,24790
2021-02-10 15:00:00,age20to29,939.0,55103,2190.0,26980,,0,,55103,,26980
2021-02-11 15:00:00,age20to29,1270.0,56373,1953.0,28933,,0,,56373,,28933
2021-02-12 15:00:00,age20to29,1318.0,57691,2257.0,31190,,0,,57691,,31190
2021-02-13 15:00:00,age20to29,571.0,58262,693.0,31883,,0,,58262,,31883
2021-02-14 15:00:00,age20to29,420.0,58682,175.0,32058,,0,,58682,,32058
2021-02-15 15:00:00,age20to29,649.0,59331,1109.0,33167,,0,,59331,,33167
2021-02-16 15:00:00,age20to29,918.0,60249,1522.0,34689,,0,,60249,,34689
2021-02-17 15:00:00,age20to29,1398.0,61647,1876.0,36565,,0,,61647,,36565
2021-02-18 15:00:00,age20to29,209.0,61856,328.0,36893,,0,,61856,,36893
2021-02-19 15:00:00,age20to29,591.0,62447,1486.0,38379,,0,,62447,,38379
2021-02-20 15:00:00,age20to29,592.0,63039,1341.0,39720,,0,,63039,,39720
2021-02-21 15:00:00,age20to29,295.0,63334,321.0,40041,,0,,63334,,40041
2021-02-22 15:00:00,age20to29,517.0,63851,1054.0,41095,,0,,63851,,41095
2021-02-23 15:00:00,age20to29,1019.0,64870,942.0,42037,,0,,64870,,42037
2021-02-24 15:00:00,age20to29,1051.0,65921,1394.0,43431,,0,,65921,,43431
2021-02-25 15:00:00,age20to29,1087.0,67008,1381.0,44812,,0,,67008,,44812
2021-02-26 15:00:00,age20to29,1639.0,68647,1630.0,46442,,0,,68647,,46442
2021-02-27 15:00:00,age20to29,1118.0,69765,818.0,47260,,0,,69765,,47260
2021-02-28 15:00:00,age20to29,951.0,70716,277.0,47537,,0,,70716,,47537
2021-03-01 15:00:00,age20to29,1545.0,72261,580.0,48117,,0,,72261,,48117
2021-03-02 15:00:00,age20to29,1432.0,73693,560.0,48677,,0,,73693,,48677
2021-03-03 15:00:00,age20to29,1965.0,75658,1055.0,49732,9.0,9,1974.0,75667,1064.0,49741
2021-03-04 15:00:00,age20to29,2015.0,77673,876.0,50608,286.0,295,2301.0,77968,1162.0,50903
2021-03-05 15:00:00,age20to29,1809.0,79482,1157.0,51765,294.0,589,2103.0,80071,1451.0,52354
2021-03-06 15:00:00,age20to29,1376.0,80858,569.0,52334,547.0,1136,1923.0,81994,1116.0,53470
2021-03-07 15:00:00,age20to29,842.0,81700,322.0,52656,645.0,1781,1487.0,83481,967.0,54437
2021-03-08 15:00:00,age20to29,1564.0,83264,570.0,53226,646.0,2427,2210.0,85691,1216.0,55653
2021-03-09 15:00:00,age20to29,1936.0,85200,867.0,54093,640.0,3067,2576.0,88267,1507.0,57160
2021-03-10 15:00:00,age20to29,2124.0,87324,977.0,55070,809.0,3876,2933.0,91200,1786.0,58946
2021-03-11 15:00:00,age20to29,3077.0,90401,806.0,55876,264.0,4140,3341.0,94541,1070.0,60016
2021-03-12 15:00:00,age20to29,3147.0,93548,1152.0,57028,196.0,4336,3343.0,97884,1348.0,61364
2021-03-13 15:00:00,age20to29,2278.0,95826,516.0,57544,101.0,4437,2379.0,100263,617.0,61981
2021-03-14 15:00:00,age20to29,1880.0,97706,382.0,57926,104.0,4541,1984.0,102247,486.0,62467
2021-03-15 15:00:00,age20to29,3101.0,100807,563.0,58489,44.0,4585,3145.0,105392,607.0,63074
2021-03-16 15:00:00,age20to29,3250.0,104057,714.0,59203,33.0,4618,3283.0,108675,747.0,63821
2021-03-17 15:00:00,age20to29,3421.0,107478,985.0,60188,129.0,4747,3550.0,112225,1114.0,64935
2021-03-18 15:00:00,age20to29,4294.0,111772,769.0,60957,175.0,4922,4469.0,116694,944.0,65879
2021-03-19 15:00:00,age20to29,3779.0,115551,820.0,61777,62.0,4984,3841.0,120535,882.0,66761
2021-03-20 15:00:00,age20to29,2699.0,118250,728.0,62505,64.0,5048,2763.0,123298,792.0,67553
2021-03-21 15:00:00,age20to29,2248.0,120498,515.0,63020,31.0,5079,2279.0,125577,546.0,68099
2021-03-22 15:00:00,age20to29,3482.0,123980,671.0,63691,71.0,5150,3553.0,129130,742.0,68841
2021-03-23 15:00:00,age20to29,3865.0,127845,1174.0,64865,106.0,5256,3971.0,133101,1280.0,70121
2021-03-24 15:00:00,age20to29,4344.0,132189,1347.0,66212,63.0,5319,4407.0,137508,1410.0,71531
2021-03-25 15:00:00,age20to29,5018.0,137207,1298.0,67510,178.0,5497,5196.0,142704,1476.0,73007
2021-03-26 15:00:00,age20to29,4133.0,141340,1677.0,69187,195.0,5692,4328.0,147032,1872.0,74879
2021-03-27 15:00:00,age20to29,3514.0,144854,1131.0,70318,172.0,5864,3686.0,150718,1303.0,76182
2021-03-28 15:00:00,age20to29,2169.0,147023,776.0,71094,128.0,5992,2297.0,153015,904.0,77086
2021-03-29 15:00:00,age20to29,3409.0,150432,1726.0,72820,81.0,6073,3490.0,156505,1807.0,78893
2021-03-30 15:00:00,age20to29,4519.0,154951,1809.0,74629,129.0,6202,4648.0,161153,1938.0,80831
2021-03-31 15:00:00,age20to29,4900.0,159851,2300.0,76929,544.0,6746,5444.0,166597,2844.0,83675
2021-04-01 15:00:00,age20to29,4720.0,164571,2993.0,79922,556.0,7302,5276.0,171873,3549.0,87224
2021-04-02 15:00:00,age20to29,4401.0,168972,2453.0,82375,709.0,8011,5110.0,176983,3162.0,90386
2021-04-03 15:00:00,age20to29,3450.0,172422,1737.0,84112,529.0,8540,3979.0,180962,2266.0,92652
2021-04-04 15:00:00,age20to29,1287.0,173709,892.0,85004,148.0,8688,1435.0,182397,1040.0,93692
2021-04-05 15:00:00,age20to29,4106.0,177815,2179.0,87183,758.0,9446,4864.0,187261,2937.0,96629
2021-04-06 15:00:00,age20to29,6169.0,183984,2644.0,89827,1293.0,10739,7462.0,194723,3937.0,100566
2021-04-07 15:00:00,age20to29,5303.0,189287,2761.0,92588,1700.0,12439,7003.0,201726,4461.0,105027
2021-04-08 15:00:00,age20to29,6364.0,195651,3317.0,95905,1941.0,14380,8305.0,210031,5258.0,110285
2021-04-09 15:00:00,age20to29,5522.0,201173,3176.0,99081,2000.0,16380,7522.0,217553,5176.0,115461
2021-04-10 15:00:00,age20to29,3930.0,205103,2576.0,101657,1135.0,17515,5065.0,222618,3711.0,119172
2021-04-11 15:00:00,age20to29,2934.0,208037,1345.0,103002,2008.0,19523,4942.0,227560,3353.0,122525
2021-04-12 15:00:00,age20to29,4409.0,212446,3582.0,106584,1767.0,21290,6176.0,233736,5349.0,127874
2021-04-13 15:00:00,age20to29,7366.0,219812,3630.0,110214,54.0,21344,7420.0,241156,3684.0,131558
2021-04-14 15:00:00,age20to29,7260.0,227072,3766.0,113980,32.0,21376,7292.0,248448,3798.0,135356
2021-04-15 15:00:00,age20to29,7680.0,234752,3865.0,117845,28.0,21404,7708.0,256156,3893.0,139249
2021-04-16 15:00:00,age20to29,6544.0,241296,3933.0,121778,2.0,21406,6546.0,262702,3935.0,143184
2021-04-17 15:00:00,age20to29,6016.0,247312,2396.0,124174,,21406,,268718,,145580
2021-04-18 15:00:00,age20to29,3565.0,250877,1843.0,126017,,21406,,272283,,147423
2021-04-19 15:00:00,age20to29,5051.0,255928,3642.0,129659,6.0,21412,5057.0,277340,3648.0,151071
2021-04-20 15:00:00,age20to29,5248.0,261176,4393.0,134052,1.0,21413,5249.0,282589,4394.0,155465
2021-04-21 15:00:00,age20to29,6678.0,267854,5073.0,139125,3.0,21416,6681.0,289270,5076.0,160541
2021-04-22 15:00:00,age20to29,6259.0,274113,4976.0,144101,4.0,21420,6263.0,295533,4980.0,165521
2021-04-23 15:00:00,age20to29,5555.0,279668,4572.0,148673,1.0,21421,5556.0,301089,4573.0,170094
2021-04-24 15:00:00,age20to29,4786.0,284454,4232.0,152905,13.0,21434,4799.0,305888,4245.0,174339
2021-04-25 15:00:00,age20to29,3447.0,287901,1177.0,154082,2.0,21436,3449.0,309337,1179.0,175518
2021-04-26 15:00:00,age20to29,5046.0,292947,3872.0,157954,30.0,21466,5076.0,314413,3902.0,179420
2021-04-27 15:00:00,age20to29,4979.0,297926,4600.0,162554,169.0,21635,5148.0,319561,4769.0,184189
2021-04-28 15:00:00,age20to29,5040.0,302966,5325.0,167879,217.0,21852,5257.0,324818,5542.0,189731
2021-04-29 15:00:00,age20to29,4677.0,307643,5372.0,173251,195.0,22047,4872.0,329690,5567.0,195298
2021-04-30 15:00:00,age20to29,5176.0,312819,5019.0,178270,220.0,22267,5396.0,335086,5239.0,200537
2021-05-01 15:00:00,age20to29,3315.0,316134,3837.0,182107,158.0,22425,3473.0,338559,3995.0,204532
2021-05-02 15:00:00,age20to29,1723.0,317857,2596.0,184703,126.0,22551,1849.0,340408,2722.0,207254
2021-05-03 15:00:00,age20to29,2245.0,320102,4577.0,189280,266.0,22817,2511.0,342919,4843.0,212097
2021-05-04 15:00:00,age20to29,2403.0,322505,6383.0,195663,255.0,23072,2658.0,345577,6638.0,218735
2021-05-05 15:00:00,age20to29,3196.0,325701,5956.0,201619,268.0,23340,3464.0,349041,6224.0,224959
2021-05-06 15:00:00,age20to29,3131.0,328832,6610.0,208229,257.0,23597,3388.0,352429,6867.0,231826
2021-05-07 15:00:00,age20to29,3267.0,332099,6137.0,214366,288.0,23885,3555.0,355984,6425.0,238251
2021-05-08 15:00:00,age20to29,2133.0,334232,5141.0,219507,192.0,24077,2325.0,358309,5333.0,243584
2021-05-09 15:00:00,age20to29,1110.0,335342,2160.0,221667,129.0,24206,1239.0,359548,2289.0,245873
2021-05-10 15:00:00,age20to29,1769.0,337111,5226.0,226893,216.0,24422,1985.0,361533,5442.0,251315
2021-05-11 15:00:00,age20to29,2664.0,339775,5311.0,232204,224.0,24646,2888.0,364421,5535.0,256850
2021-05-12 15:00:00,age20to29,2488.0,342263,6139.0,238343,353.0,24999,2841.0,367262,6492.0,263342
2021-05-13 15:00:00,age20to29,2206.0,344469,5645.0,243988,184.0,25183,2390.0,369652,5829.0,269171
2021-05-14 15:00:00,age20to29,2665.0,347134,4847.0,248835,264.0,25447,2929.0,372581,5111.0,274282
2021-05-15 15:00:00,age20to29,1955.0,349089,4119.0,252954,272.0,25719,2227.0,374808,4391.0,278673
2021-05-16 15:00:00,age20to29,1102.0,350191,3129.0,256083,209.0,25928,1311.0,376119,3338.0,282011
2021-05-17 15:00:00,age20to29,1992.0,352183,4656.0,260739,310.0,26238,2302.0,378421,4966.0,286977
2021-05-18 15:00:00,age20to29,2711.0,354894,5648.0,266387,345.0,26583,3056.0,381477,5993.0,292970
2021-05-19 15:00:00,age20to29,3005.0,357899,5580.0,271967,279.0,26862,3284.0,384761,5859.0,298829
2021-05-20 15:00:00,age20to29,3043.0,360942,5660.0,277627,349.0,27211,3392.0,388153,6009.0,304838
2021-05-21 15:00:00,age20to29,2606.0,363548,5274.0,282901,261.0,27472,2867.0,391020,5535.0,310373
2021-05-22 15:00:00,age20to29,2118.0,365666,3469.0,286370,235.0,27707,2353.0,393373,3704.0,314077
2021-05-23 15:00:00,age20to29,1369.0,367035,2067.0,288437,193.0,27900,1562.0,394935,2260.0,316337
2021-05-24 15:00:00,age20to29,2073.0,369108,3019.0,291456,255.0,28155,2328.0,397263,3274.0,319611
2021-05-25 15:00:00,age20to29,2095.0,371203,3216.0,294672,221.0,28376,2316.0,399579,3437.0,323048
2021-05-26 15:00:00,age20to29,2209.0,373412,3145.0,297817,285.0,28661,2494.0,402073,3430.0,326478
