VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
2020-12-14 15:00:00,,,0.001,0.0,0.0,,,13,4,2
2020-12-15 15:00:00,,,0.002,0.002,0.001,,,45,30,5
2020-12-16 15:00:00,,,0.019,0.013,0.003,,,490,156,30
2020-12-17 15:00:00,,,0.05,0.039,0.01,,,1273,476,92
2020-12-18 15:00:00,,,0.126,0.115,0.03,,,3169,1411,287
2020-12-19 15:00:00,,,0.149,0.138,0.036,,,3750,1698,348
2020-12-20 15:00:00,,,0.158,0.146,0.039,,,3994,1795,372
2020-12-21 15:00:00,,,0.26,0.236,0.062,,,6551,2903,598
2020-12-22 15:00:00,,0.002,0.386,0.385,0.197,,8.0,9752,4723,1893
2020-12-23 15:00:00,,0.002,0.516,0.533,0.271,,9.0,13013,6545,2598
2020-12-24 15:00:00,,,0.579,0.605,0.295,,,14620,7432,2833
2020-12-25 15:00:00,,0.004,0.591,0.633,0.336,,18.0,14915,7770,3226
2020-12-26 15:00:00,,,0.62,0.683,0.391,,,15647,8393,3754
2020-12-27 15:00:00,,0.004,0.65,0.727,0.444,,20.0,16410,8923,4261
2020-12-28 15:00:00,,0.005,0.849,0.953,0.568,,24.0,21425,11703,5448
2020-12-29 15:00:00,,0.006,1.075,1.242,0.746,,25.0,27129,15258,7159
2020-12-30 15:00:00,,0.006,1.358,1.568,0.886,,27.0,34277,19261,8503
2020-12-31 15:00:00,,0.006,1.53,1.76,0.977,,29.0,38613,21614,9369
2021-01-01 15:00:00,,0.008,1.582,1.829,1.098,,38.0,39914,22463,10537
2021-01-02 15:00:00,,0.009,1.639,1.891,1.184,,39.0,41366,23230,11363
2021-01-03 15:00:00,,0.009,1.703,1.973,1.267,,40.0,42977,24235,12158
2021-01-04 15:00:00,,0.01,1.972,2.315,1.515,,47.0,49760,28439,14532
2021-01-05 15:00:00,,0.013,2.218,2.629,1.768,,57.0,55957,32294,16959
2021-01-06 15:00:00,,0.016,2.518,3.029,2.055,,73.0,63547,37205,19713
2021-01-07 15:00:00,,0.019,2.836,3.415,2.293,,87.0,71559,41943,21995
2021-01-08 15:00:00,,0.027,3.165,3.816,2.578,,120.0,79877,46873,24731
2021-01-09 15:00:00,,0.028,3.265,3.936,2.703,,126.0,82380,48344,25928
2021-01-10 15:00:00,,0.029,3.317,4.007,2.784,,131.0,83700,49213,26707
2021-01-11 15:00:00,,0.033,3.577,4.338,3.106,,148.0,90257,53284,29798
2021-01-12 15:00:00,,0.039,3.9,4.735,3.558,,174.0,98417,58160,34133
2021-01-13 15:00:00,,0.042,4.275,5.191,3.929,,191.0,107876,63751,37693
2021-01-14 15:00:00,,0.045,4.624,5.62,4.321,,203.0,116689,69030,41456
2021-01-15 15:00:00,,0.048,5.0,6.058,4.803,,218.0,126167,74402,46081
2021-01-16 15:00:00,,0.048,5.101,6.157,5.021,,219.0,128706,75615,48170
2021-01-17 15:00:00,,0.049,5.135,6.202,5.094,,223.0,129573,76171,48868
2021-01-18 15:00:00,,0.051,5.219,6.313,5.467,,229.0,131696,77538,52454
2021-01-19 15:00:00,,0.053,5.411,6.544,6.434,,239.0,136532,80377,61727
2021-01-20 15:00:00,,0.055,5.635,6.827,7.671,,249.0,142190,83854,73594
2021-01-21 15:00:00,,0.058,5.922,7.177,8.949,,263.0,149445,88145,85855
2021-01-22 15:00:00,,0.062,6.299,7.654,10.333,,278.0,158954,94003,99133
2021-01-23 15:00:00,,0.064,6.426,7.8,10.866,,290.0,162160,95795,104250
2021-01-24 15:00:00,,0.067,6.457,7.845,11.076,,304.0,162927,96358,106265
2021-01-25 15:00:00,,0.069,6.626,8.051,12.066,,314.0,167204,98888,115759
2021-01-26 15:00:00,,0.072,6.817,8.275,13.107,,327.0,172020,101639,125746
2021-01-27 15:00:00,,0.077,7.054,8.567,14.657,,347.0,177988,105215,140620
2021-01-28 15:00:00,,0.08,7.283,8.862,16.036,,363.0,183780,108840,153851
2021-01-29 15:00:00,,0.093,7.52,9.182,17.581,,421.0,189758,112769,168675
2021-01-30 15:00:00,,0.097,7.694,9.396,18.701,,440.0,194147,115404,179414
2021-01-31 15:00:00,,0.1,7.747,9.46,18.871,,451.0,195483,116186,181050
2021-02-01 15:00:00,,0.11,7.823,9.575,19.367,,496.0,197396,117606,185811
2021-02-02 15:00:00,,0.116,7.94,9.746,20.142,,525.0,200352,119705,193241
2021-02-03 15:00:00,,0.122,8.126,10.004,21.224,,550.0,205049,122867,203620
2021-02-04 15:00:00,,0.125,8.33,10.331,22.574,,566.0,210203,126883,216573
2021-02-05 15:00:00,,0.129,8.537,10.622,23.782,,581.0,215430,130465,228161
2021-02-06 15:00:00,,0.131,8.673,10.789,24.396,,594.0,218849,132511,234058
2021-02-07 15:00:00,,0.133,8.731,10.876,24.754,,601.0,220329,133584,237486
2021-02-08 15:00:00,,0.136,8.858,11.05,25.552,,616.0,223531,135718,245146
2021-02-09 15:00:00,,0.14,9.018,11.27,26.586,,631.0,227562,138419,255064
2021-02-10 15:00:00,,0.145,9.185,11.524,27.832,,655.0,231784,141536,267023
2021-02-11 15:00:00,,0.15,9.412,11.849,29.21,,680.0,237496,145532,280237
2021-02-12 15:00:00,,0.153,9.643,12.181,30.305,,690.0,243338,149605,290741
2021-02-13 15:00:00,,0.157,9.755,12.348,30.99,,708.0,246160,151661,297316
2021-02-14 15:00:00,,0.161,9.839,12.461,31.365,,727.0,248281,153045,300913
2021-02-15 15:00:00,,0.164,9.952,12.612,32.101,,739.0,251120,154906,307972
2021-02-16 15:00:00,,0.169,10.123,12.878,33.043,,765.0,255448,158170,317010
2021-02-17 15:00:00,,0.171,10.372,13.225,34.098,,771.0,261736,162425,327136
2021-02-18 15:00:00,,0.172,10.412,13.282,34.253,,775.0,262741,163137,328620
2021-02-19 15:00:00,,0.174,10.521,13.434,34.84,,787.0,265492,165003,334252
2021-02-20 15:00:00,,0.18,10.633,13.592,35.418,,812.0,268313,166934,339796
2021-02-21 15:00:00,,0.183,10.689,13.673,35.811,,826.0,269717,167934,343565
2021-02-22 15:00:00,,0.186,10.77,13.791,36.282,,839.0,271774,169382,348084
2021-02-23 15:00:00,,0.194,10.935,14.031,37.157,,875.0,275931,172333,356484
2021-02-24 15:00:00,,0.201,11.13,14.341,38.121,,908.0,280841,176140,365735
2021-02-25 15:00:00,,0.209,11.326,14.64,39.344,,944.0,285789,179815,377466
2021-02-26 15:00:00,,0.216,11.588,15.014,40.955,,974.0,292417,184403,392919
2021-02-27 15:00:00,,0.226,11.772,15.289,41.785,,1022.0,297059,187783,400880
2021-02-28 15:00:00,,0.234,11.941,15.558,42.61,,1056.0,301323,191085,408801
2021-03-01 15:00:00,,0.248,12.256,16.072,43.946,,1120.0,309268,197400,421615
2021-03-02 15:00:00,,0.256,12.508,16.482,45.26,,1156.0,315617,202437,434218
2021-03-03 15:00:00,,0.266,12.861,17.03,46.796,,1202.0,324523,209166,448955
2021-03-04 15:00:00,,0.273,13.253,17.648,48.626,,1234.0,334420,216750,466513
2021-03-05 15:00:00,,0.282,13.601,18.241,50.593,,1275.0,343197,224044,485390
