VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,AtLeastOneDoseCumulative,FullyVaccinated,FullVaccinatedCumulative
2020-12-14 15:00:00,Baltimore                                         ,1.0,1,,0,,0,,1,,0
2020-12-15 15:00:00,Baltimore                                         ,2.0,3,1.0,1,,0,,3,,1
2020-12-16 15:00:00,Baltimore                                         ,122.0,125,,1,,0,,125,,1
2020-12-17 15:00:00,Baltimore                                         ,190.0,315,,1,,0,,315,,1
2020-12-18 15:00:00,Baltimore                                         ,444.0,759,1.0,2,,0,,759,,2
2020-12-19 15:00:00,Baltimore                                         ,137.0,896,,2,,0,,896,,2
2020-12-20 15:00:00,Baltimore                                         ,64.0,960,2.0,4,,0,,960,,4
2020-12-21 15:00:00,Baltimore                                         ,579.0,1539,,4,,0,,1539,,4
2020-12-22 15:00:00,Baltimore                                         ,1027.0,2566,,4,,0,,2566,,4
2020-12-23 15:00:00,Baltimore                                         ,1171.0,3737,1.0,5,,0,,3737,,5
2020-12-24 15:00:00,Baltimore                                         ,621.0,4358,1.0,6,,0,,4358,,6
2020-12-25 15:00:00,Baltimore                                         ,33.0,4391,,6,,0,,4391,,6
2020-12-26 15:00:00,Baltimore                                         ,304.0,4695,1.0,7,,0,,4695,,7
2020-12-27 15:00:00,Baltimore                                         ,319.0,5014,1.0,8,,0,,5014,,8
2020-12-28 15:00:00,Baltimore                                         ,1591.0,6605,5.0,13,,0,,6605,,13
2020-12-29 15:00:00,Baltimore                                         ,1990.0,8595,1.0,14,,0,,8595,,14
2020-12-30 15:00:00,Baltimore                                         ,1748.0,10343,3.0,17,,0,,10343,,17
2020-12-31 15:00:00,Baltimore                                         ,1052.0,11395,,17,,0,,11395,,17
2021-01-01 15:00:00,Baltimore                                         ,257.0,11652,1.0,18,,0,,11652,,18
2021-01-02 15:00:00,Baltimore                                         ,570.0,12222,4.0,22,,0,,12222,,22
2021-01-03 15:00:00,Baltimore                                         ,914.0,13136,15.0,37,,0,,13136,,37
2021-01-04 15:00:00,Baltimore                                         ,2022.0,15158,60.0,97,,0,,15158,,97
2021-01-05 15:00:00,Baltimore                                         ,2171.0,17329,90.0,187,,0,,17329,,187
2021-01-06 15:00:00,Baltimore                                         ,2224.0,19553,187.0,374,,0,,19553,,374
2021-01-07 15:00:00,Baltimore                                         ,2426.0,21979,293.0,667,,0,,21979,,667
2021-01-08 15:00:00,Baltimore                                         ,2152.0,24131,349.0,1016,,0,,24131,,1016
