VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
2020-12-14 15:00:00,4,180,,44,,,4,180,0,44,4,200
2020-12-15 15:00:00,11,191,,44,,,11,191,0,44,11,211
2020-12-16 15:00:00,546,737,1.0,45,,,546,737,1,45,547,758
2020-12-17 15:00:00,1047,1784,,45,,,1047,1784,0,45,1047,1805
2020-12-18 15:00:00,2863,4647,1.0,46,,,2863,4647,1,46,2864,4669
2020-12-19 15:00:00,850,5497,1.0,47,,,850,5497,1,47,851,5520
2020-12-20 15:00:00,280,5777,,47,,,280,5777,0,47,280,5800
2020-12-21 15:00:00,3723,9500,1.0,48,,,3723,9500,1,48,3724,9524
2020-12-22 15:00:00,6177,15677,4.0,52,,,6177,15677,4,52,6181,15705
2020-12-23 15:00:00,5466,21143,7.0,59,,,5466,21143,7,59,5473,21178
2020-12-24 15:00:00,2640,23783,1.0,60,,,2640,23783,1,60,2641,23819
2020-12-25 15:00:00,1030,24813,1.0,61,,,1030,24813,1,61,1031,24850
2020-12-26 15:00:00,1653,26466,3.0,64,,,1653,26466,3,64,1656,26506
2020-12-27 15:00:00,1766,28232,4.0,68,,,1766,28232,4,68,1770,28276
2020-12-28 15:00:00,8600,36832,11.0,79,,,8600,36832,11,79,8611,36887
2020-12-29 15:00:00,10319,47151,7.0,86,,,10319,47151,7,86,10326,47213
2020-12-30 15:00:00,12167,59318,9.0,95,,,12167,59318,9,95,12176,59389
2020-12-31 15:00:00,7306,66624,9.0,104,,,7306,66624,9,104,7315,66704
2021-01-01 15:00:00,1565,68189,22.0,126,,,1565,68189,22,126,1587,68291
2021-01-02 15:00:00,2600,70789,24.0,150,,,2600,70789,24,150,2624,70915
2021-01-03 15:00:00,3162,73951,70.0,220,,,3162,73951,70,220,3232,74147
2021-01-04 15:00:00,12818,86769,250.0,470,,,12818,86769,250,470,13068,87215
2021-01-05 15:00:00,11685,98454,440.0,910,,,11685,98454,440,910,12125,99340
