VACCINATION_DATE,Gender,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative
2020-12-14 15:00:00,Female,5.0,5,,0,,0
2020-12-15 15:00:00,Female,17.0,22,1.0,1,,0
2020-12-16 15:00:00,Female,319.0,341,2.0,3,,0
2020-12-17 15:00:00,Female,732.0,1073,,3,,0
2020-12-18 15:00:00,Female,1886.0,2959,2.0,5,,0
2020-12-19 15:00:00,Female,549.0,3508,1.0,6,,0
2020-12-20 15:00:00,Female,196.0,3704,1.0,7,,0
2020-12-21 15:00:00,Female,2431.0,6135,6.0,13,,0
2020-12-22 15:00:00,Female,4137.0,10272,6.0,19,,0
2020-12-23 15:00:00,Female,3779.0,14051,10.0,29,,0
2020-12-24 15:00:00,Female,1719.0,15770,2.0,31,,0
2020-12-25 15:00:00,Female,726.0,16496,2.0,33,,0
2020-12-26 15:00:00,Female,1130.0,17626,3.0,36,,0
2020-12-27 15:00:00,Female,1246.0,18872,3.0,39,,0
2020-12-28 15:00:00,Female,6004.0,24876,9.0,48,,0
2020-12-29 15:00:00,Female,7087.0,31963,12.0,60,,0
2020-12-30 15:00:00,Female,8149.0,40112,19.0,79,,0
2020-12-31 15:00:00,Female,4751.0,44863,9.0,88,,0
2021-01-01 15:00:00,Female,1258.0,46121,39.0,127,,0
2021-01-02 15:00:00,Female,1918.0,48039,12.0,139,,0
2021-01-03 15:00:00,Female,2238.0,50277,38.0,177,,0
2021-01-04 15:00:00,Female,8478.0,58755,176.0,353,,0
2021-01-05 15:00:00,Female,7932.0,66687,311.0,664,,0
2021-01-06 15:00:00,Female,9506.0,76193,485.0,1149,,0
2021-01-07 15:00:00,Female,9642.0,85835,1063.0,2212,,0
2021-01-08 15:00:00,Female,10447.0,96282,1693.0,3905,,0
2021-01-09 15:00:00,Female,3285.0,99567,611.0,4516,,0
2021-01-10 15:00:00,Female,1759.0,101326,235.0,4751,,0
2021-01-11 15:00:00,Female,8421.0,109747,2141.0,6892,,0
2021-01-12 15:00:00,Female,10384.0,120131,3602.0,10494,,0
2021-01-13 15:00:00,Female,11492.0,131623,2608.0,13102,,0
2021-01-14 15:00:00,Female,11283.0,142906,1214.0,14316,,0
2021-01-15 15:00:00,Female,12943.0,155849,1294.0,15610,,0
2021-01-16 15:00:00,Female,3754.0,159603,1004.0,16614,,0
2021-01-17 15:00:00,Female,1489.0,161092,923.0,17537,,0
2021-01-18 15:00:00,Female,4593.0,165685,2020.0,19557,,0
2021-01-19 15:00:00,Female,10356.0,176041,3593.0,23150,,0
2021-01-20 15:00:00,Female,12682.0,188723,3588.0,26738,,0
2021-01-21 15:00:00,Female,14309.0,203032,2416.0,29154,,0
2021-01-22 15:00:00,Female,17875.0,220907,2271.0,31425,,0
2021-01-23 15:00:00,Female,6398.0,227305,1196.0,32621,,0
2021-01-24 15:00:00,Female,2088.0,229393,1125.0,33746,,0
2021-01-25 15:00:00,Female,10177.0,239570,5537.0,39283,,0
2021-01-26 15:00:00,Female,10664.0,250234,5450.0,44733,,0
2021-01-27 15:00:00,Female,14918.0,265152,7946.0,52679,,0
2021-01-28 15:00:00,Female,13821.0,278973,5993.0,58672,,0
2021-01-29 15:00:00,Female,15156.0,294129,5287.0,63959,,0
2021-01-30 15:00:00,Female,11055.0,305184,1651.0,65610,,0
2021-01-31 15:00:00,Female,2280.0,307464,737.0,66347,,0
2021-02-01 15:00:00,Female,4219.0,311683,2863.0,69210,,0
2021-02-02 15:00:00,Female,7162.0,318845,8553.0,77763,,0
2021-02-03 15:00:00,Female,10798.0,329643,10977.0,88740,,0
2021-02-04 15:00:00,Female,13064.0,342707,9849.0,98589,,0
2021-02-05 15:00:00,Female,12261.0,354968,11522.0,110111,,0
2021-02-06 15:00:00,Female,7093.0,362061,4104.0,114215,,0
2021-02-07 15:00:00,Female,3608.0,365669,1161.0,115376,,0
2021-02-08 15:00:00,Female,7748.0,373417,7989.0,123365,,0
2021-02-09 15:00:00,Female,9763.0,383180,8423.0,131788,,0
2021-02-10 15:00:00,Female,11614.0,394794,13138.0,144926,,0
2021-02-11 15:00:00,Female,13685.0,408479,10285.0,155211,,0
2021-02-12 15:00:00,Female,12500.0,420979,12484.0,167695,,0
2021-02-13 15:00:00,Female,6637.0,427616,3928.0,171623,,0
2021-02-14 15:00:00,Female,4237.0,431853,1216.0,172839,,0
2021-02-15 15:00:00,Female,6884.0,438737,8420.0,181259,,0
2021-02-16 15:00:00,Female,9552.0,448289,12800.0,194059,,0
2021-02-17 15:00:00,Female,12536.0,460825,16354.0,210413,,0
2021-02-18 15:00:00,Female,1702.0,462527,2716.0,213129,,0
2021-02-19 15:00:00,Female,5795.0,468322,12315.0,225444,,0
2021-02-20 15:00:00,Female,6001.0,474323,12923.0,238367,,0
2021-02-21 15:00:00,Female,3530.0,477853,4627.0,242994,,0
2021-02-22 15:00:00,Female,4564.0,482417,9392.0,252386,,0
