VACCINATION_DATE,Race,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative
12/16/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,3.0,3,,0,,0
12/17/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,5.0,8,,0,,0
12/18/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,30.0,38,,0,,0
12/19/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,10.0,48,,0,,0
12/20/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,4.0,52,,0,,0
12/21/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,42.0,94,,0,,0
12/22/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,55.0,149,,0,,0
12/23/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,52.0,201,,0,,0
12/24/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,21.0,222,,0,,0
12/25/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,8.0,230,,0,,0
12/26/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,13.0,243,,0,,0
12/27/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,12.0,255,,0,,0
12/28/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,77.0,332,,0,,0
12/29/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,69.0,401,,0,,0
12/30/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,102.0,503,,0,,0
12/31/2020 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,47.0,550,,0,,0
01/01/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,5.0,555,,0,,0
01/02/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,21.0,576,,0,,0
01/03/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,18.0,594,,0,,0
01/04/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,95.0,689,3.0,3,,0
01/05/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,76.0,765,11.0,14,,0
01/06/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,72.0,837,6.0,20,,0
01/07/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,114.0,951,11.0,31,,0
01/08/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,105.0,1056,26.0,57,,0
01/09/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,32.0,1088,12.0,69,,0
01/10/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,21.0,1109,5.0,74,,0
01/11/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,89.0,1198,43.0,117,,0
01/12/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,102.0,1300,43.0,160,,0
01/13/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,93.0,1393,26.0,186,,0
01/14/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,95.0,1488,19.0,205,,0
01/15/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,122.0,1610,19.0,224,,0
01/16/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,37.0,1647,13.0,237,,0
01/17/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,10.0,1657,6.0,243,,0
01/18/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,36.0,1693,21.0,264,,0
01/19/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,94.0,1787,32.0,296,,0
01/20/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,104.0,1891,39.0,335,,0
01/21/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,100.0,1991,25.0,360,,0
01/22/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,144.0,2135,12.0,372,,0
01/23/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,44.0,2179,10.0,382,,0
01/24/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,24.0,2203,11.0,393,,0
01/25/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,69.0,2272,65.0,458,,0
01/26/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,76.0,2348,40.0,498,,0
01/27/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,120.0,2468,77.0,575,,0
01/28/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,120.0,2588,64.0,639,,0
01/29/2021 03:00:00,AMERICAN INDIAN OR ALASKAN NATIVE,161.0,2749,54.0,693,,0
01/01/2020 03:00:00,ASIAN,1.0,1,,0,,0
01/05/2020 03:00:00,ASIAN,1.0,2,,0,,0
01/31/2020 03:00:00,ASIAN,1.0,3,,0,,0
09/03/2020 03:00:00,ASIAN,1.0,4,,0,,0
