ReportDate,FirstDose_AdminDaily,FirstDose_AdminCum,FirstDose_AdminSevenDayAvg,SecDose_AdminDaily,SecDose_AdminCum,SecDose_AdminSevenDayAvg,SingleDose_AdminDaily,SingleDose_AdminCum,SingleDose_AdminSevenDayAvg,Total_AdminDaily,Total_AdminCum,Total_AdminSevenDayAvg
2022-02-18 15:00:00,17308.0,4694067.0,4212.0,13433.0,4129469.0,4238.0,486.0,334240.0,137.0,31227,9157776,8587
2022-02-17 15:00:00,2533.0,4676759.0,2096.0,3005.0,4116036.0,2839.0,49.0,333754.0,82.0,5587,9126549,5018
2022-02-16 15:00:00,2442.0,4674226.0,2044.0,2902.0,4113031.0,2861.0,91.0,333705.0,84.0,5435,9120962,4989
2022-02-15 15:00:00,2019.0,4671784.0,2087.0,3154.0,4110129.0,2977.0,57.0,333614.0,93.0,5230,9115527,5157
2022-02-14 15:00:00,1983.0,4669765.0,2160.0,2949.0,4106975.0,3021.0,68.0,333557.0,95.0,5000,9110297,5275
2022-02-13 15:00:00,1210.0,4667782.0,2228.0,1551.0,4104026.0,3172.0,29.0,333489.0,97.0,2790,9105297,5496
2022-02-12 15:00:00,1987.0,4666572.0,2266.0,2671.0,4102475.0,3200.0,180.0,333460.0,98.0,4838,9102507,5564
2022-02-11 15:00:00,2496.0,4664585.0,2307.0,3644.0,4099804.0,3289.0,103.0,333280.0,97.0,6243,9097669,5693
2022-02-10 15:00:00,2173.0,4662089.0,2378.0,3157.0,4096160.0,3391.0,58.0,333177.0,92.0,5388,9091426,5861
2022-02-09 15:00:00,2738.0,4659916.0,2540.0,3716.0,4093003.0,3535.0,158.0,333119.0,92.0,6612,9086038,6168
2022-02-08 15:00:00,2530.0,4657178.0,2624.0,3460.0,4089287.0,3582.0,66.0,332961.0,88.0,6056,9079426,6294
2022-02-07 15:00:00,2462.0,4654648.0,2756.0,4002.0,4085827.0,3623.0,83.0,332895.0,96.0,6547,9073370,6475
2022-02-06 15:00:00,1477.0,4652186.0,2837.0,1747.0,4081825.0,3513.0,38.0,332812.0,94.0,3262,9066823,6444
2022-02-05 15:00:00,2272.0,4650709.0,2890.0,3296.0,4080078.0,3479.0,175.0,332774.0,94.0,5743,9063561,6463
2022-02-04 15:00:00,2992.0,4648437.0,2961.0,4360.0,4076782.0,3405.0,64.0,332599.0,87.0,7416,9057818,6452
2022-02-03 15:00:00,3312.0,4645445.0,3136.0,4165.0,4072422.0,3336.0,60.0,332535.0,93.0,7537,9050402,6565
2022-02-02 15:00:00,3320.0,4642133.0,3311.0,4047.0,4068257.0,3402.0,132.0,332475.0,113.0,7499,9042865,6826
2022-02-01 15:00:00,3457.0,4638813.0,3531.0,3745.0,4064210.0,3507.0,118.0,332343.0,110.0,7320,9035366,7147
2022-01-31 15:00:00,3032.0,4635356.0,3687.0,3229.0,4060465.0,3505.0,69.0,332225.0,113.0,6330,9028046,7306
2022-01-30 15:00:00,1845.0,4632324.0,3827.0,1514.0,4057236.0,3487.0,37.0,332156.0,116.0,3396,9021716,7430
2022-01-29 15:00:00,2767.0,4630479.0,3925.0,2772.0,4055722.0,3467.0,130.0,332119.0,123.0,5669,9018320,7515
2022-01-28 15:00:00,4218.0,4627712.0,4084.0,3880.0,4052950.0,3383.0,107.0,331989.0,123.0,8205,9012651,7590
2022-01-27 15:00:00,4536.0,4623494.0,4338.0,4627.0,4049070.0,3405.0,199.0,331882.0,140.0,9362,9004446,7882
2022-01-26 15:00:00,4859.0,4618958.0,4493.0,4779.0,4044443.0,3445.0,110.0,331683.0,129.0,9748,8995084,8066
2022-01-25 15:00:00,4555.0,4614099.0,4667.0,3737.0,4039664.0,3448.0,139.0,331573.0,129.0,8431,8985336,8244
2022-01-24 15:00:00,4011.0,4609544.0,4803.0,3100.0,4035927.0,3511.0,89.0,331434.0,131.0,7200,8976905,8446
2022-01-23 15:00:00,2528.0,4605533.0,4742.0,1371.0,4032827.0,3409.0,88.0,331345.0,131.0,3987,8969705,8282
2022-01-22 15:00:00,3881.0,4603005.0,4849.0,2187.0,4031456.0,3433.0,129.0,331257.0,138.0,6197,8965718,8420
2022-01-21 15:00:00,5995.0,4599124.0,5047.0,4033.0,4029269.0,3445.0,224.0,331128.0,131.0,10252,8959521,8623
2022-01-20 15:00:00,5621.0,4593129.0,5228.0,4905.0,4025236.0,3463.0,124.0,330904.0,140.0,10650,8949269,8830
2022-01-19 15:00:00,6076.0,4587508.0,5687.0,4803.0,4020331.0,4945.0,111.0,330780.0,156.0,10990,8938619,10788
2022-01-18 15:00:00,5510.0,4581432.0,6634.0,4181.0,4015528.0,5868.0,155.0,330669.0,197.0,9846,8927629,12699
2022-01-17 15:00:00,3583.0,4575922.0,6903.0,2383.0,4011347.0,5962.0,88.0,330514.0,198.0,6054,8917783,13063
2022-01-16 15:00:00,3277.0,4572339.0,7198.0,1537.0,4008964.0,6181.0,136.0,330426.0,206.0,4950,8911729,13586
2022-01-15 15:00:00,5266.0,4569062.0,7204.0,2273.0,4007427.0,6309.0,77.0,330290.0,212.0,7616,8906779,13726
2022-01-14 15:00:00,7262.0,4563796.0,7173.0,4156.0,4005154.0,6561.0,289.0,330213.0,214.0,11707,8899163,13947
2022-01-13 15:00:00,8835.0,4556534.0,7053.0,15283.0,4000998.0,6572.0,237.0,329924.0,197.0,24355,8887456,13822
2022-01-12 15:00:00,12706.0,4547699.0,6701.0,11265.0,3985715.0,5040.0,394.0,329687.0,201.0,24365,8863101,11941
2022-01-11 15:00:00,7389.0,4534993.0,5813.0,4839.0,3974450.0,4039.0,167.0,329293.0,167.0,12395,8838736,10019
2022-01-10 15:00:00,5651.0,4527604.0,5467.0,3916.0,3969611.0,3798.0,145.0,329126.0,167.0,9712,8826341,9432
2022-01-09 15:00:00,3322.0,4521953.0,5113.0,2433.0,3965695.0,3551.0,174.0,328981.0,179.0,5929,8816629,8843
2022-01-08 15:00:00,5043.0,4518631.0,4873.0,4032.0,3963262.0,3360.0,93.0,328807.0,160.0,9168,8810700,8394
2022-01-07 15:00:00,6427.0,4513588.0,4381.0,4235.0,3959230.0,2943.0,171.0,328714.0,154.0,10833,8801532,7478
2022-01-06 15:00:00,6368.0,4507161.0,4096.0,4557.0,3954995.0,2668.0,263.0,328543.0,146.0,11188,8790699,6910
2022-01-05 15:00:00,6489.0,4500793.0,4272.0,4263.0,3950438.0,2559.0,155.0,328280.0,149.0,10907,8779511,6980
2022-01-04 15:00:00,4968.0,4494304.0,4511.0,3151.0,3946175.0,2526.0,166.0,328125.0,152.0,8285,8768604,7189
2022-01-03 15:00:00,3174.0,4489336.0,4861.0,2185.0,3943024.0,2654.0,234.0,327959.0,150.0,5593,8760319,7665
2022-01-02 15:00:00,1644.0,4486162.0,5169.0,1098.0,3940839.0,2842.0,40.0,327725.0,158.0,2782,8754726,8169
2022-01-01 15:00:00,1597.0,4484518.0,5144.0,1115.0,3939741.0,2807.0,48.0,327685.0,156.0,2760,8751944,8107
2021-12-31 15:00:00,4430.0,4482921.0,5002.0,2309.0,3938626.0,2706.0,113.0,327637.0,151.0,6852,8749184,7859
2021-12-30 15:00:00,7603.0,4478491.0,5028.0,3789.0,3936317.0,2680.0,289.0,327524.0,146.0,11681,8742332,7854
2021-12-29 15:00:00,8163.0,4470888.0,5141.0,4036.0,3932528.0,2690.0,173.0,327235.0,159.0,12372,8730651,7989
